dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000636,4.453999,0.000199,0.019875,0.993743,49.687168,6.281316
0.020000,0.000568,4.454000,0.000267,0.003397,-0.823892,-90.881744,6.281516
0.020000,0.000432,4.454000,0.000403,0.006795,0.169907,49.689922,6.281916
0.020000,0.000228,4.454000,0.000607,0.010196,0.170017,0.005494,6.282515
0.020000,0.000473,4.454000,0.000851,0.012245,0.102497,-3.375996,0.000130
0.020000,0.004108,4.454002,0.004487,0.181774,8.476451,418.697699,0.001131
0.020000,0.008469,4.454010,0.008848,0.218037,1.813145,-333.165290,0.002334
0.020000,0.013556,4.454025,0.013934,0.254333,1.814782,0.081845,0.003739
0.020000,0.019369,4.454052,0.019748,0.290674,1.817028,0.112312,0.005348
0.020000,0.025907,4.454093,0.026286,0.326922,1.812420,-0.230393,0.007161
0.020000,0.033170,4.454152,0.033549,0.363157,1.811750,-0.033520,0.009181
0.020000,0.041157,4.454234,0.041537,0.399361,1.810220,-0.076504,0.011408
0.020000,0.049868,4.454344,0.050249,0.435598,1.811848,0.081384,0.013844
0.020000,0.059303,4.454487,0.059684,0.471770,1.808571,-0.163851,0.016491
0.020000,0.069458,4.454669,0.069841,0.507838,1.803416,-0.257731,0.019351
0.020000,0.080336,4.454897,0.080721,0.544035,1.809852,0.321813,0.022425
0.020000,0.091934,4.455176,0.092322,0.580054,1.800931,-0.446067,0.025715
0.020000,0.104250,4.455514,0.104644,0.616068,1.800702,-0.011417,0.029224
0.020000,0.117286,4.455919,0.117685,0.652071,1.800162,-0.027049,0.032954
0.020000,0.131038,4.456400,0.131446,0.688046,1.798742,-0.070961,0.036907
0.020000,0.145507,4.456965,0.145926,0.723975,1.796469,-0.113643,0.041086
0.020000,0.160689,4.457622,0.161123,0.759843,1.793372,-0.154893,0.045493
0.020000,0.176584,4.458383,0.177035,0.795632,1.789482,-0.194502,0.050131
0.020000,0.193189,4.459256,0.193664,0.831435,1.790141,0.032990,0.055002
0.020000,0.210504,4.460254,0.211007,0.867148,1.785620,-0.226055,0.060109
0.020000,0.228526,4.461387,0.229064,0.902874,1.786348,0.036412,0.065456
0.020000,0.247252,4.462667,0.247834,0.938490,1.780752,-0.279805,0.071044
0.020000,0.266680,4.464106,0.267316,0.974082,1.779600,-0.057638,0.076877
0.020000,0.286808,4.465718,0.287508,1.009634,1.777635,-0.098230,0.082957
0.020000,0.307633,4.467516,0.308411,1.045133,1.774915,-0.136021,0.089287
0.020000,0.329152,4.469514,0.330022,1.080563,1.771501,-0.170699,0.095869
0.020000,0.351363,4.471726,0.352343,1.116024,1.773064,0.078157,0.102707
0.020000,0.374260,4.474168,0.375370,1.151355,1.766543,-0.326032,0.109801
0.020000,0.397842,4.476856,0.399104,1.186730,1.768744,0.110033,0.117156
0.020000,0.422103,4.479805,0.423544,1.222000,1.763533,-0.260559,0.124773
0.020000,0.447041,4.483033,0.448690,1.257264,1.763194,-0.016914,0.132653
0.020000,0.472650,4.486556,0.474540,1.292508,1.762219,-0.048761,0.140799
0.020000,0.498925,4.490393,0.501094,1.327723,1.760707,-0.075594,0.149212
0.020000,0.525863,4.494562,0.528352,1.362898,1.758766,-0.097037,0.157892
0.020000,0.553457,4.499082,0.556315,1.398115,1.760831,0.103249,0.166841
0.020000,0.581702,4.503973,0.584980,1.433270,1.757751,-0.154033,0.176059
0.020000,0.610593,4.509254,0.614350,1.468491,1.761066,0.165763,0.185545
0.020000,0.640123,4.514946,0.644423,1.503674,1.759131,-0.096730,0.195298
0.020000,0.670286,4.521069,0.675201,1.538896,1.761135,0.100200,0.205318
0.020000,0.701074,4.527646,0.706684,1.574154,1.762902,0.088331,0.215602
0.020000,0.732481,4.534698,0.738873,1.609446,1.764580,0.083915,0.226147
0.020000,0.764500,4.542248,0.771770,1.644826,1.768993,0.220628,0.236950
0.020000,0.797122,4.550317,0.805375,1.680254,1.771404,0.120572,0.248008
0.020000,0.830339,4.558928,0.839691,1.715783,1.776450,0.252263,0.259314
0.020000,0.864144,4.568105,0.874718,1.751392,1.780437,0.199352,0.270862
0.020000,0.898526,4.577871,0.910461,1.787133,1.787080,0.332157,0.282647
0.020000,0.933478,4.588250,0.946921,1.823011,1.793876,0.339835,0.294660
0.020000,0.968989,4.599265,0.984102,1.859030,1.800990,0.355688,0.306892
0.020000,1.005051,4.610941,1.022006,1.895204,1.808674,0.384182,0.319333
0.020000,1.041652,4.623300,1.060638,1.931620,1.820780,0.605299,0.331972
0.020000,1.078784,4.636368,1.100002,1.968180,1.827998,0.360910,0.344798
0.020000,1.116434,4.650167,1.140102,2.004984,1.840207,0.610447,0.357796
0.020000,1.154594,4.664722,1.180942,2.042039,1.852781,0.628716,0.370954
0.020000,1.193251,4.680055,1.222529,2.079355,1.865762,0.649039,0.384255
0.020000,1.232395,4.696190,1.264868,2.116940,1.879269,0.675366,0.397684
0.020000,1.272013,4.713149,1.307964,2.154808,1.893404,0.706752,0.411222
0.020000,1.312096,4.730956,1.351824,2.193003,1.909753,0.817402,0.424852
0.020000,1.352632,4.749630,1.396455,2.231504,1.925061,0.765446,0.438555
0.020000,1.393608,4.769195,1.441862,2.270367,1.943141,0.903957,0.452311
0.020000,1.435014,4.789669,1.488053,2.309563,1.959818,0.833876,0.466100
0.020000,1.476837,4.811073,1.535036,2.349121,1.977868,0.902511,0.479899
0.020000,1.519067,4.833426,1.582817,2.389053,1.996633,0.938220,0.493688
0.020000,1.561693,4.856745,1.631404,2.429360,2.015340,0.935388,0.507444
0.020000,1.604703,4.881047,1.680805,2.470041,2.034010,0.933490,0.521145
0.020000,1.648086,4.906349,1.731027,2.511118,2.053899,0.994460,0.534768
0.020000,1.691832,4.932664,1.782078,2.552573,2.072702,0.940131,0.548291
0.020000,1.735932,4.960007,1.833967,2.594414,2.092077,0.968736,0.561691
0.020000,1.780375,4.988390,1.886700,2.636639,2.111245,0.958425,0.574945
0.020000,1.825152,5.017824,1.940284,2.679242,2.130159,0.945668,0.588031
0.020000,1.870254,5.048319,1.994729,2.722218,2.148808,0.932465,0.600928
0.020000,1.915675,5.079882,2.050040,2.765560,2.167069,0.913037,0.613613
0.020000,1.961407,5.112522,2.106225,2.809259,2.184946,0.893857,0.626066
0.020000,2.007444,5.146244,2.163291,2.853304,2.202269,0.866156,0.638267
0.020000,2.053780,5.181052,2.221245,2.897689,2.219231,0.848090,0.650195
0.020000,2.100412,5.216949,2.280093,2.942398,2.235478,0.812365,0.661831
0.020000,2.147335,5.253936,2.339841,2.987421,2.251152,0.783708,0.673157
0.020000,2.194548,5.292014,2.400496,3.032747,2.266284,0.756587,0.684155
0.020000,2.242051,5.331181,2.462064,3.078365,2.280900,0.730820,0.694807
0.020000,2.289842,5.371435,2.524549,3.124265,2.295026,0.706277,0.705099
0.020000,2.337925,5.412772,2.587957,3.170428,2.308113,0.654349,0.715012
0.020000,2.386301,5.455186,2.652295,3.216856,2.321416,0.665179,0.724534
0.020000,2.434977,5.498671,2.717565,3.263523,2.333362,0.597301,0.733648
0.020000,2.483957,5.543219,2.783774,3.310438,2.345750,0.619390,0.742341
0.020000,2.533251,5.588821,2.850925,3.357583,2.357234,0.574206,0.750599
0.020000,2.582866,5.635466,2.919025,3.404952,2.368459,0.561248,0.758408
0.020000,2.632677,5.683010,2.987883,3.442939,1.899333,-23.456325,0.765737
0.020000,2.682298,5.731047,3.056947,3.453175,0.511833,-69.374981,0.772525
0.020000,2.731351,5.779155,3.125654,3.435364,-0.890571,-70.120234,0.778727
0.020000,2.779711,5.827147,3.193786,3.406572,-1.439612,-27.452046,0.784346
0.020000,2.827388,5.874969,3.261314,3.376405,-1.508333,-3.436036,0.789401
0.020000,2.874407,5.922584,3.328231,3.345868,-1.526879,-0.927282,0.793914
0.020000,2.920791,5.969957,3.394531,3.314983,-1.544234,-0.867744,0.797906
0.020000,2.966562,6.017055,3.460206,3.283754,-1.561425,-0.859584,0.801397
0.020000,3.011741,6.063848,3.525250,3.252203,-1.577577,-0.807583,0.804405
0.020000,3.056349,6.110306,3.589656,3.220335,-1.593376,-0.789960,0.806950
0.020000,3.100404,6.156402,3.653420,3.188165,-1.608495,-0.755957,0.809048
0.020000,3.143925,6.202111,3.716534,3.155706,-1.622993,-0.724860,0.810718
0.020000,3.186928,6.247409,3.778993,3.122967,-1.636931,-0.696927,0.811976
0.020000,3.229429,6.292273,3.840792,3.089958,-1.650431,-0.674987,0.812837
0.020000,3.271443,6.336683,3.901926,3.056691,-1.663369,-0.646906,0.813317
0.020000,3.312983,6.380617,3.962390,3.023174,-1.675868,-0.624975,0.813430
0.020000,3.354063,6.424058,4.022178,2.989415,-1.687946,-0.603885,0.813191
0.020000,3.394692,6.466989,4.081286,2.955422,-1.699634,-0.584376,0.812613
0.020000,3.434883,6.509393,4.139710,2.921203,-1.710939,-0.565287,0.811710
0.020000,3.474644,6.551255,4.197446,2.886765,-1.721924,-0.549231,0.810494
0.020000,3.513984,6.592560,4.254488,2.852112,-1.732646,-0.536082,0.808978
0.020000,3.552911,6.633297,4.310833,2.817250,-1.743090,-0.522198,0.807175
0.020000,3.591432,6.673451,4.366477,2.782188,-1.753078,-0.499420,0.805097
0.020000,3.629552,6.713012,4.421415,2.746924,-1.763237,-0.507952,0.802754
0.020000,3.667277,6.751970,4.475645,2.711464,-1.772966,-0.486456,0.800159
0.020000,3.704609,6.790314,4.529161,2.675818,-1.782312,-0.467310,0.797322
0.020000,3.741553,6.828036,4.581960,2.639980,-1.791910,-0.479888,0.794256
0.020000,3.778111,6.865127,4.634040,2.603956,-1.801202,-0.464586,0.790970
0.020000,3.814285,6.901580,4.685395,2.567754,-1.810091,-0.444442,0.787476
