dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000636,3.774001,0.000199,0.019875,0.993743,49.687168,6.281316
0.020000,-0.000568,3.774000,0.000267,0.003397,-0.823892,-90.881744,6.281516
0.020000,-0.000432,3.774000,0.000403,0.006795,0.169907,49.689922,6.281916
0.020000,-0.000228,3.774000,0.000607,0.010196,0.170017,0.005494,6.282515
0.020000,0.000561,3.774000,0.001395,0.039447,1.462552,64.626775,0.000130
0.020000,0.004877,3.774003,0.005712,0.215811,8.818202,367.782500,0.001131
0.020000,0.010056,3.774012,0.010890,0.258923,2.155605,-333.129846,0.002334
0.020000,0.016098,3.774030,0.016932,0.302106,2.159156,0.177516,0.003739
0.020000,0.023005,3.774061,0.023840,0.345380,2.163695,0.226974,0.005348
0.020000,0.030777,3.774110,0.031612,0.388587,2.160351,-0.167221,0.007161
0.020000,0.039413,3.774181,0.040248,0.431826,2.161939,0.079393,0.009181
0.020000,0.048914,3.774278,0.049750,0.475081,2.162756,0.040853,0.011408
0.020000,0.059282,3.774409,0.060118,0.518432,2.167578,0.241097,0.013844
0.020000,0.070516,3.774580,0.071354,0.561768,2.166806,-0.038593,0.016491
0.020000,0.082615,3.774797,0.083455,0.605049,2.164026,-0.138982,0.019351
0.020000,0.095584,3.775067,0.096426,0.648555,2.175285,0.562927,0.022425
0.020000,0.109418,3.775401,0.110264,0.691924,2.168460,-0.341256,0.025715
0.020000,0.124120,3.775804,0.124972,0.735368,2.172200,0.187030,0.029224
0.020000,0.139690,3.776289,0.140549,0.778883,2.175768,0.178411,0.032954
0.020000,0.156129,3.776863,0.156998,0.822453,2.178474,0.135303,0.036907
0.020000,0.173437,3.777538,0.174319,0.866059,2.180330,0.092768,0.041086
0.020000,0.191614,3.778326,0.192513,0.909686,2.181348,0.050934,0.045493
0.020000,0.210658,3.779237,0.211580,0.953317,2.181547,0.009929,0.050131
0.020000,0.230572,3.780285,0.231521,0.997063,2.187309,0.288107,0.055002
0.020000,0.251353,3.781482,0.252337,1.040802,2.186951,-0.017928,0.060109
0.020000,0.273004,3.782843,0.274030,1.084661,2.192954,0.300151,0.065456
0.020000,0.295521,3.784382,0.296600,1.128489,2.191395,-0.077953,0.071044
0.020000,0.318905,3.786115,0.320048,1.172393,2.195171,0.188842,0.076877
0.020000,0.343154,3.788057,0.344375,1.216351,2.197939,0.138387,0.082957
0.020000,0.368268,3.790225,0.369582,1.260346,2.199721,0.089093,0.089287
0.020000,0.394243,3.792636,0.395669,1.304357,2.200544,0.041146,0.095869
0.020000,0.421080,3.795310,0.422639,1.348501,2.207211,0.333353,0.102707
0.020000,0.448775,3.798263,0.450490,1.392579,2.203895,-0.165823,0.109801
0.020000,0.477326,3.801517,0.479226,1.436796,2.210845,0.347525,0.117156
0.020000,0.506729,3.805091,0.508846,1.480966,2.208491,-0.117685,0.124773
0.020000,0.536981,3.809007,0.539350,1.525198,2.211632,0.157048,0.132653
0.020000,0.568077,3.813285,0.570739,1.569469,2.213531,0.094956,0.140799
0.020000,0.600013,3.817949,0.603014,1.613753,2.214230,0.034931,0.149212
0.020000,0.632784,3.823020,0.636175,1.658029,2.213775,-0.022763,0.157892
