dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002058,14.614998,0.000655,0.065543,3.277128,163.856387,0.001845
0.020000,-0.001857,14.614998,0.000856,0.010021,-2.776065,-302.659612,0.001666
0.020000,-0.001456,14.614999,0.001257,0.020040,0.500957,163.851101,0.001306
0.020000,-0.000855,14.615000,0.001858,0.030055,0.500745,-0.010615,0.000767
0.020000,-0.000054,14.615000,0.002659,0.040064,0.500425,-0.016028,0.000048
0.020000,0.013351,14.614994,0.016064,0.670251,31.509374,1550.447450,6.282335
0.020000,0.030281,14.614971,0.032994,0.846483,8.811594,-1134.888986,6.281258
0.020000,0.050036,14.614920,0.052749,0.987776,7.064639,-87.347742,6.280001
0.020000,0.072612,14.614832,0.075325,1.128788,7.050605,-0.701681,6.278564
0.020000,0.098008,14.614694,0.100722,1.269842,7.052704,0.104904,6.276948
0.020000,0.126226,14.614493,0.128940,1.410929,7.054361,0.082856,6.275153
0.020000,0.157265,14.614213,0.159981,1.552022,7.054640,0.013950,6.273178
0.020000,0.191125,14.613838,0.193843,1.693093,7.053568,-0.053594,6.271025
0.020000,0.227804,14.613349,0.230525,1.834117,7.051176,-0.119596,6.268692
0.020000,0.267301,14.612727,0.270027,1.975094,7.048853,-0.116130,6.266181
0.020000,0.309620,14.611950,0.312353,2.116301,7.060331,0.573864,6.263492
0.020000,0.354752,14.610997,0.357495,2.257108,7.040350,-0.999036,6.260625
0.020000,0.402704,14.609841,0.405461,2.398304,7.059816,0.973325,6.257580
0.020000,0.453469,14.608459,0.456245,2.539167,7.043135,-0.834086,6.254357
0.020000,0.507045,14.606823,0.509846,2.680072,7.045280,0.107272,6.250958
0.020000,0.563432,14.604905,0.566266,2.820989,7.045837,0.027830,6.247383
0.020000,0.622628,14.602673,0.625504,2.961886,7.044860,-0.048816,6.243633
0.020000,0.684629,14.600098,0.687558,3.102734,7.042411,-0.122476,6.239707
0.020000,0.749432,14.597145,0.752428,3.243505,7.038551,-0.192969,6.235608
0.020000,0.817032,14.593782,0.820112,3.384172,7.033349,-0.260123,6.231336
0.020000,0.887426,14.589972,0.890609,3.524850,7.033887,0.026901,6.226893
0.020000,0.960609,14.585678,0.963918,3.665469,7.030937,-0.147477,6.222278
0.020000,1.036576,14.580863,1.040037,3.805964,7.024746,-0.309589,6.217495
0.020000,1.115319,14.575487,1.118964,3.946324,7.018004,-0.337088,6.212544
0.020000,1.196836,14.569510,1.200699,4.086749,7.021238,0.161714,6.207427
0.020000,1.281115,14.562889,1.285238,4.226962,7.010664,-0.528702,6.202147
0.020000,1.368150,14.555582,1.372579,4.367052,7.004517,-0.307342,6.196704
0.020000,1.457931,14.547544,1.462719,4.507014,6.998109,-0.320436,6.191102
0.020000,1.550451,14.538732,1.555658,4.646903,6.994436,-0.183633,6.185342
0.020000,1.645697,14.529098,1.651390,4.786625,6.986078,-0.417905,6.179428
0.020000,1.743657,14.518597,1.749912,4.926079,6.972707,-0.668533,6.173363
0.020000,1.844323,14.507180,1.851222,5.065525,6.972293,-0.020689,6.167149
0.020000,1.947676,14.494800,1.955314,5.204605,6.954031,-0.913120,6.160790
0.020000,2.053706,14.481406,2.062187,5.343650,6.952241,-0.089492,6.154289
0.020000,2.162397,14.466951,2.171835,5.482390,6.936982,-0.762946,6.147651
0.020000,2.273732,14.451384,2.284253,5.620893,6.925145,-0.591871,6.140880
0.020000,2.387694,14.434655,2.399436,5.759157,6.913198,-0.597315,6.133980
0.020000,2.504264,14.416712,2.517379,5.897151,6.899725,-0.673663,6.126956
0.020000,2.623423,14.397506,2.638076,6.034864,6.885658,-0.703380,6.119812
0.020000,2.745153,14.376985,2.761523,6.172358,6.874690,-0.548382,6.112555
0.020000,2.869429,14.355100,2.887712,6.309414,6.852806,-1.094211,6.105189
0.020000,2.996231,14.331798,3.016637,6.446246,6.841600,-0.560282,6.097722
0.020000,3.125533,14.307031,3.148290,6.582644,6.819907,-1.084645,6.090158
0.020000,3.257313,14.280749,3.282665,6.718752,6.805400,-0.725368,6.082504
0.020000,3.391544,14.252902,3.419754,6.854467,6.785716,-0.984186,6.074768
0.020000,3.528200,14.223441,3.559549,6.989769,6.765117,-1.029937,6.066956
0.020000,3.667253,14.192320,3.702043,7.124666,6.744862,-1.012752,6.059075
0.020000,3.808676,14.159492,3.847226,7.259144,6.723883,-1.048976,6.051133
0.020000,3.952439,14.124911,3.995090,7.393215,6.703555,-1.016409,6.043138
0.020000,4.098513,14.088533,4.145626,7.526786,6.678524,-1.251555,6.035099
0.020000,4.246868,14.050314,4.298824,7.659914,6.656435,-1.104409,6.027022
0.020000,4.397472,14.010214,4.454675,7.792561,6.632347,-1.204439,6.018918
0.020000,4.550294,13.968192,4.613170,7.924732,6.608557,-1.189463,6.010794
0.020000,4.705303,13.924211,4.774297,8.056385,6.582645,-1.295620,6.002660
0.020000,4.862467,13.878233,4.938048,8.187536,6.557542,-1.255143,5.994525
0.020000,5.021753,13.830225,5.104412,8.318170,6.531700,-1.292082,5.986397
0.020000,5.183129,13.780154,5.273377,8.448276,6.505316,-1.319217,5.978288
0.020000,5.346563,13.727991,5.444934,8.577848,6.478566,-1.337491,5.970205
0.020000,5.512024,13.673706,5.619072,8.706880,6.451609,-1.347878,5.962160
0.020000,5.679478,13.617276,5.795779,8.835371,6.424536,-1.353653,5.954161
0.020000,5.848896,13.558675,5.975045,8.963311,6.397025,-1.375528,5.946218
0.020000,6.020246,13.497885,6.156859,9.090697,6.369299,-1.386280,5.938342
0.020000,6.193498,13.434886,6.341210,9.217535,6.341910,-1.369491,5.930541
0.020000,6.368624,13.369664,6.528086,9.343819,6.314191,-1.385951,5.922827
0.020000,6.545593,13.302206,6.717477,9.469546,6.286359,-1.391581,5.915210
0.020000,6.724380,13.232501,6.909372,9.594717,6.258559,-1.390002,5.907698
