dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.500000,0.000655,0.065543,3.277128,163.856387,0.001845
0.020000,0.000000,13.500000,0.003277,0.196628,6.554255,163.856387,0.001666
0.020000,0.000000,13.500000,0.008521,0.327713,6.554255,-0.000000,0.001306
0.020000,0.000000,13.500000,0.016386,0.458798,6.554255,0.000000,0.000767
0.020000,0.000000,13.500000,0.026872,0.589883,6.554255,0.000000,0.000048
0.020000,0.012403,13.499995,0.039981,0.720968,6.554255,-0.000000,6.282335
0.020000,0.028132,13.499973,0.055711,0.852053,6.554255,0.000000,6.281258
0.020000,0.046485,13.499926,0.074063,0.983138,6.554255,-0.000000,6.280001
0.020000,0.067459,13.499844,0.095037,1.114223,6.554255,0.000000,6.278564
0.020000,0.091054,13.499716,0.118632,1.245309,6.554255,0.000000,6.276948
0.020000,0.117270,13.499529,0.144849,1.376394,6.554255,-0.000000,6.275153
0.020000,0.146107,13.499269,0.173688,1.507479,6.554255,0.000000,6.273178
0.020000,0.177566,13.498920,0.205148,1.638564,6.554255,0.000000,6.271025
0.020000,0.211645,13.498466,0.239230,1.769649,6.554255,0.000000,6.268692
0.020000,0.248343,13.497888,0.275934,1.900734,6.554255,-0.000000,6.266181
0.020000,0.287663,13.497166,0.315260,2.031819,6.554255,0.000000,6.263492
0.020000,0.329599,13.496280,0.357207,2.162904,6.554255,0.000000,6.260625
0.020000,0.374157,13.495207,0.401776,2.293989,6.554255,-0.000000,6.257580
0.020000,0.421330,13.493923,0.448966,2.425075,6.554255,0.000000,6.254357
0.020000,0.471118,13.492402,0.498779,2.556160,6.554255,-0.000000,6.250958
0.020000,0.523522,13.490619,0.551213,2.687245,6.554255,0.000000,6.247383
0.020000,0.578538,13.488545,0.606269,2.818330,6.554255,0.000000,6.243633
0.020000,0.636167,13.486151,0.663946,2.949415,6.554255,-0.000000,6.239707
0.020000,0.696404,13.483407,0.724245,3.080500,6.554255,0.000000,6.235608
0.020000,0.759246,13.480280,0.787166,3.211585,6.554255,-0.000000,6.231336
0.020000,0.824693,13.476738,0.852709,3.342670,6.554255,0.000000,6.226893
0.020000,0.892740,13.472746,0.920873,3.473755,6.554255,0.000000,6.222278
0.020000,0.963384,13.468268,0.991659,3.604841,6.554255,-0.000000,6.217495
0.020000,1.036620,13.463268,1.065067,3.735926,6.554255,0.000000,6.212544
0.020000,1.112446,13.457708,1.141096,3.867011,6.554255,-0.000000,6.207427
0.020000,1.190856,13.451548,1.219747,3.998096,6.554255,-0.000000,6.202147
0.020000,1.271844,13.444748,1.301020,4.129181,6.554255,0.000000,6.196704
0.020000,1.355403,13.437268,1.384914,4.260266,6.554255,0.000000,6.191102
0.020000,1.441530,13.429064,1.471430,4.391351,6.554255,0.000000,6.185342
0.020000,1.530216,13.420094,1.560568,4.522436,6.554255,0.000000,6.179428
0.020000,1.621451,13.410314,1.652328,4.653521,6.554255,-0.000000,6.173363
0.020000,1.715232,13.399678,1.746709,4.784606,6.554255,0.000000,6.167149
0.020000,1.811545,13.388141,1.843712,4.915692,6.554255,0.000000,6.160790
0.020000,1.910385,13.375656,1.943337,5.046777,6.554255,0.000000,6.154289
0.020000,2.011739,13.362177,2.045583,5.177862,6.554255,-0.000000,6.147651
0.020000,2.115597,13.347655,2.150451,5.308947,6.554255,0.000000,6.140880
0.020000,2.221946,13.332043,2.257941,5.440032,6.554255,-0.000000,6.133980
0.020000,2.330775,13.315292,2.368052,5.571117,6.554255,0.000000,6.126956
0.020000,2.442071,13.297353,2.480786,5.702202,6.554255,0.000000,6.119812
0.020000,2.555822,13.278177,2.596141,5.833287,6.554255,-0.000000,6.112555
0.020000,2.672010,13.257716,2.714117,5.964372,6.554255,0.000000,6.105189
0.020000,2.790622,13.235920,2.834715,6.095458,6.554255,-0.000000,6.097722
0.020000,2.911641,13.212739,2.957935,6.226543,6.554255,0.000000,6.090158
0.020000,3.035052,13.188126,3.083777,6.357628,6.554255,-0.000000,6.082504
0.020000,3.160837,13.162031,3.212241,6.488713,6.554255,0.000000,6.074768
0.020000,3.288978,13.134406,3.343326,6.619798,6.554255,0.000000,6.066956
0.020000,3.419456,13.105204,3.477033,6.750883,6.554255,-0.000000,6.059075
0.020000,3.552253,13.074378,3.613361,6.881968,6.554255,0.000000,6.051133
0.020000,3.687350,13.041882,3.752311,7.013053,6.554255,-0.000000,6.043138
0.020000,3.824725,13.007670,3.893883,7.144138,6.554255,0.000000,6.035099
0.020000,3.964359,12.971697,4.038077,7.275224,6.554255,-0.000000,6.027022
0.020000,4.106231,12.933922,4.184892,7.406309,6.554255,0.000000,6.018918
0.020000,4.250320,12.894302,4.334329,7.537394,6.554255,-0.000000,6.010794
0.020000,4.396604,12.852796,4.486388,7.668479,6.554255,0.000000,6.002660
0.020000,4.545061,12.809365,4.641068,7.799564,6.554255,-0.000000,5.994525
0.020000,4.695671,12.763972,4.798370,7.930649,6.554255,0.000000,5.986397
0.020000,4.848411,12.716581,4.958294,8.061734,6.554255,0.000000,5.978288
0.020000,5.003260,12.667157,5.120840,8.192819,6.554255,-0.000000,5.970205
0.020000,5.160197,12.615669,5.286007,8.323904,6.554255,0.000000,5.962160
0.020000,5.319199,12.562087,5.453796,8.454990,6.554255,0.000000,5.954161
0.020000,5.480247,12.506381,5.624207,8.586075,6.554255,0.000000,5.946218
0.020000,5.643321,12.448527,5.797239,8.717160,6.554255,0.000000,5.938342
0.020000,5.808399,12.388500,5.972893,8.848245,6.554255,-0.000000,5.930541
0.020000,5.975464,12.326280,6.151169,8.979330,6.554255,0.000000,5.922827
0.020000,6.144497,12.261847,6.332066,9.110415,6.554255,-0.000000,5.915210
0.020000,6.315480,12.195184,6.515585,9.241500,6.554255,0.000000,5.907698
0.020000,6.488397,12.126279,6.701726,9.372585,6.554255,0.000000,5.900302
0.020000,6.663232,12.055118,6.890489,9.503670,6.554255,-0.000000,5.893032
0.020000,6.839972,11.981695,7.081873,9.634756,6.554255,0.000000,5.885898
0.020000,7.018602,11.906002,7.275879,9.765841,6.554255,-0.000000,5.878909
0.020000,7.199111,11.828037,7.472507,9.896926,6.554255,0.000000,5.872075
0.020000,7.381490,11.747799,7.671756,10.028011,6.554255,0.000000,5.865406
0.020000,7.565730,11.665291,7.873627,10.159096,6.554255,0.000000,5.858911
0.020000,7.751823,11.580518,8.078120,10.290181,6.554255,0.000000,5.852600
0.020000,7.939765,11.493488,8.285234,10.421266,6.554255,-0.000000,5.846483
0.020000,8.129552,11.404214,8.494971,10.552351,6.554255,-0.000000,5.840568
0.020000,8.321183,11.312708,8.707328,10.683436,6.554255,0.000000,5.834865
0.020000,8.514659,11.218990,8.922308,10.814522,6.554255,-0.000000,5.829384
0.020000,8.709983,11.123078,9.139909,10.945607,6.554255,0.000000,5.824133
0.020000,8.907159,11.024999,9.360132,11.076692,6.554255,-0.000000,5.819122
0.020000,9.106195,10.924777,9.582977,11.207777,6.554255,-0.000000,5.814360
0.020000,9.307101,10.822445,9.808443,11.338862,6.554255,0.000000,5.809856
0.020000,9.509888,10.718036,10.036531,11.469947,6.554255,-0.000000,5.805620
0.020000,9.714572,10.611586,10.267241,11.601032,6.554255,0.000000,5.801661
0.020000,9.921169,10.503138,10.500573,11.732117,6.554255,-0.000000,5.797987
0.020000,10.129700,10.392735,10.736526,11.863202,6.554255,-0.000000,5.794609
0.020000,10.340187,10.280426,10.975101,11.994287,6.554255,0.000000,5.791537
0.020000,10.552654,10.166263,11.216297,12.125373,6.554255,-0.000000,5.788779
0.020000,10.767131,10.050301,11.460116,12.256458,6.554255,0.000000,5.786346
0.020000,10.983648,9.932602,11.706556,12.387543,6.554255,-0.000000,5.784247
0.020000,11.202239,9.813229,11.955617,12.518628,6.554255,0.000000,5.782494
0.020000,11.422940,9.692252,12.207301,12.649713,6.554255,0.000000,5.781096
0.020000,11.645791,9.569743,12.461606,12.780798,6.554255,-0.000000,5.780065
0.020000,11.870836,9.445782,12.718533,12.911883,6.554255,0.000000,5.779411
0.020000,12.098119,9.320451,12.978081,13.042968,6.554255,-0.000000,5.779146
0.020000,12.327690,9.193840,13.240251,13.174053,6.554255,0.000000,5.779282
0.020000,12.559600,9.066041,13.505043,13.305139,6.554255,0.000000,5.779831
0.020000,12.793904,8.937156,13.772457,13.436224,6.554255,-0.000000,5.780806
0.020000,13.030661,8.807289,14.042492,13.567309,6.554255,0.000000,5.782219
0.020000,13.269931,8.676554,14.315149,13.698394,6.554255,0.000000,5.784086
0.020000,13.511778,8.545069,14.590428,13.829479,6.554255,0.000000,5.786419
0.020000,13.756269,8.412960,14.868329,13.960564,6.554255,-0.000000,5.789234
0.020000,14.003474,8.280362,15.148851,14.091649,6.554255,-0.000000,5.792546
0.020000,14.253465,8.147415,15.431994,14.222734,6.554255,0.000000,5.796370
0.020000,14.506317,8.014270,15.717760,14.353819,6.554255,-0.000000,5.800723
0.020000,14.762108,7.881084,16.006147,14.484905,6.554255,0.000000,5.805622
0.020000,15.020916,7.748027,16.297156,14.615990,6.554255,-0.000000,5.811083
0.020000,15.282824,7.615275,16.590787,14.747075,6.554255,-0.000000,5.817126
0.020000,15.547914,7.483016,16.887039,14.878160,6.554255,0.000000,5.823767
0.020000,15.816270,7.351448,17.185913,15.009245,6.554255,-0.000000,5.831026
0.020000,16.087978,7.220781,17.487409,15.140330,6.554255,0.000000,5.838922
0.020000,16.363123,7.091235,17.791526,15.271415,6.554255,-0.000000,5.847473
0.020000,16.641790,6.963045,18.098266,15.402500,6.554255,-0.000000,5.856699
0.020000,16.924064,6.836454,18.407626,15.533585,6.554255,0.000000,5.866618
0.020000,17.210026,6.711723,18.719609,15.664671,6.554255,-0.000000,5.877249
0.020000,17.499756,6.589121,19.034213,15.795756,6.554255,0.000000,5.888609
0.020000,17.793330,6.468933,19.351439,15.926841,6.554255,-0.000000,5.900716
0.020000,18.090821,6.351459,19.671287,16.057926,6.554255,0.000000,5.913585
