dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002058,12.385002,0.000655,0.065543,3.277128,163.856387,0.001845
0.020000,0.001857,12.385002,0.000856,0.010021,-2.776065,-302.659612,0.001666
0.020000,0.001456,12.385001,0.001257,0.020040,0.500957,163.851101,0.001306
0.020000,0.000855,12.385000,0.001858,0.030055,0.500745,-0.010615,0.000767
0.020000,0.000054,12.385000,0.002659,0.040064,0.500425,-0.016028,0.000048
0.020000,0.011456,12.384995,0.014061,0.570094,26.501493,1300.053403,6.282335
0.020000,0.025983,12.384975,0.028588,0.726337,7.812157,-934.466764,6.281258
0.020000,0.042934,12.384932,0.045539,0.847585,6.062429,-87.486429,6.280001
0.020000,0.062306,12.384856,0.064911,0.968599,6.050687,-0.587079,6.278564
0.020000,0.084099,12.384738,0.086704,1.089657,6.052875,0.109392,6.276948
0.020000,0.108313,12.384565,0.110920,1.210752,6.054790,0.095743,6.275153
0.020000,0.134950,12.384325,0.137557,1.331865,6.055648,0.042892,6.273178
0.020000,0.164007,12.384003,0.166616,1.452975,6.055494,-0.007674,6.271025
0.020000,0.195486,12.383583,0.198098,1.574063,6.054380,-0.055692,6.268692
0.020000,0.229384,12.383049,0.232000,1.695133,6.053525,-0.042750,6.266181
0.020000,0.265707,12.382383,0.268329,1.816428,6.064744,0.560919,6.263492
0.020000,0.304446,12.381564,0.307077,1.937413,6.049222,-0.776078,6.260625
0.020000,0.345610,12.380572,0.348252,2.058770,6.067854,0.931592,6.257580
0.020000,0.389191,12.379386,0.391850,2.179886,6.055788,-0.603327,6.254357
0.020000,0.435192,12.377981,0.437872,2.301091,6.060250,0.223138,6.250958
0.020000,0.483611,12.376334,0.486319,2.422366,6.063759,0.175428,6.247383
0.020000,0.534449,12.374417,0.537193,2.543694,6.066403,0.132221,6.243633
0.020000,0.587704,12.372205,0.590494,2.665059,6.068279,0.093771,6.239707
0.020000,0.643375,12.369669,0.646223,2.786449,6.069485,0.060318,6.235608
0.020000,0.701460,12.366779,0.704380,2.907852,6.070127,0.032087,6.231336
0.020000,0.761959,12.363504,0.764968,3.029378,6.076341,0.310703,6.226893
0.020000,0.824871,12.359813,0.827988,3.150983,6.080251,0.195486,6.222278
0.020000,0.890192,12.355673,0.893440,3.272626,6.082116,0.093290,6.217495
0.020000,0.957921,12.351049,0.961326,3.394312,6.084304,0.109383,6.212544
0.020000,1.028057,12.345906,1.031651,3.516230,6.095925,0.581051,6.207427
0.020000,1.100597,12.340207,1.104414,3.638162,6.096575,0.032495,6.202147
0.020000,1.175537,12.333915,1.179618,3.760202,6.101992,0.270868,6.196704
0.020000,1.252875,12.326992,1.257266,3.882366,6.108200,0.310362,6.191102
0.020000,1.332609,12.319397,1.337360,4.004722,6.117836,0.481800,6.185342
0.020000,1.414734,12.311091,1.419904,4.127214,6.124560,0.336234,6.179428
0.020000,1.499245,12.302031,1.504900,4.249776,6.128134,0.178707,6.173363
0.020000,1.586142,12.292176,1.592353,4.372659,6.144113,0.798911,6.167149
0.020000,1.675415,12.281482,1.682265,4.495578,6.145962,0.092457,6.160790
0.020000,1.767064,12.269906,1.774641,4.618845,6.163354,0.869625,6.154289
0.020000,1.861081,12.257402,1.869487,4.742254,6.170475,0.356053,6.147651
0.020000,1.957461,12.243926,1.966804,4.865893,6.181950,0.573721,6.140880
0.020000,2.056199,12.229431,2.066600,4.989789,6.194765,0.640757,6.133980
0.020000,2.157287,12.213871,2.168879,5.113943,6.207722,0.647853,6.126956
0.020000,2.260720,12.197200,2.273647,5.238376,6.221652,0.696482,6.119812
0.020000,2.366491,12.179370,2.380910,5.363172,6.239784,0.906628,6.112555
0.020000,2.474591,12.160333,2.490673,5.488171,6.249951,0.508351,6.105189
0.020000,2.585014,12.140041,2.602945,5.613589,6.270925,1.048693,6.097722
0.020000,2.697750,12.118447,2.717731,5.739275,6.284297,0.668580,6.090158
0.020000,2.812792,12.095503,2.835038,5.865384,6.305443,1.057316,6.082504
0.020000,2.930130,12.071160,2.954876,5.991856,6.323579,0.906786,6.074768
0.020000,3.049756,12.045371,3.077250,6.118703,6.342387,0.940408,6.066956
0.020000,3.171660,12.018088,3.202169,6.245962,6.362938,1.027560,6.059075
0.020000,3.295831,11.989264,3.329642,6.373647,6.384261,1.066128,6.051133
0.020000,3.422261,11.958852,3.459678,6.501798,6.407518,1.162861,6.043138
0.020000,3.550937,11.926806,3.592285,6.630357,6.427944,1.021320,6.035099
0.020000,3.681851,11.893081,3.727473,6.759401,6.452200,1.212779,6.027022
0.020000,3.814991,11.857630,3.865251,6.888918,6.475869,1.183451,6.018918
0.020000,3.950346,11.820412,4.005630,7.018936,6.500904,1.251757,6.010794
0.020000,4.087904,11.781381,4.148619,7.149438,6.525080,1.208782,6.002660
0.020000,4.227656,11.740497,4.294228,7.280456,6.550906,1.291325,5.994525
0.020000,4.369589,11.697719,4.442468,7.411994,6.576924,1.300886,5.986397
0.020000,4.513693,11.653007,4.593349,7.544059,6.603212,1.314407,5.978288
0.020000,4.659957,11.606324,4.746882,7.676655,6.629832,1.331007,5.970205
0.020000,4.808370,11.557632,4.903078,7.809792,6.656829,1.349825,5.962160
0.020000,4.958920,11.506897,5.061947,7.943476,6.684188,1.367972,5.954161
0.020000,5.111599,11.454087,5.223501,8.077706,6.711525,1.366835,5.946218
0.020000,5.266395,11.399169,5.387751,8.212485,6.738943,1.370897,5.938342
0.020000,5.423301,11.342114,5.554708,8.347822,6.766849,1.395306,5.930541
0.020000,5.582305,11.282896,5.724382,8.483713,6.794556,1.385355,5.922827
0.020000,5.743401,11.221488,5.896785,8.620156,6.822176,1.380989,5.915210
0.020000,5.906581,11.157867,6.071928,8.757152,6.849762,1.379324,5.907698
0.020000,6.071837,11.092014,6.249822,8.894699,6.877354,1.379592,5.900302
0.020000,6.239164,11.023910,6.430478,9.032798,6.904976,1.381081,5.893032
0.020000,6.408557,10.953538,6.613907,9.171451,6.932639,1.383144,5.885898
0.020000,6.580012,10.880885,6.800120,9.310649,6.959891,1.362611,5.878909
0.020000,6.753527,10.805941,6.989127,9.450371,6.986123,1.311631,5.872075
0.020000,6.929099,10.728698,7.180940,9.590654,7.014154,1.401539,5.865406
0.020000,7.106730,10.649149,7.375570,9.731461,7.040349,1.309736,5.858911
0.020000,7.286419,10.567293,7.573025,9.872789,7.066355,1.300311,5.852600
0.020000,7.468171,10.483130,7.773319,10.014657,7.093437,1.354072,5.846483
0.020000,7.651991,10.396662,7.976460,10.157046,7.119444,1.300362,5.840568
0.020000,7.837884,10.307896,8.182459,10.299955,7.145429,1.299256,5.834865
0.020000,8.025859,10.216842,8.391326,10.443383,7.171422,1.299664,5.829384
0.020000,8.215928,10.123511,8.603073,10.587326,7.197118,1.284813,5.824133
0.020000,8.408101,10.027920,8.817708,10.731766,7.222007,1.244401,5.819122
0.020000,8.602395,9.930086,9.035243,10.876751,7.249250,1.362192,5.814360
0.020000,8.798826,9.830033,9.255688,11.022221,7.273497,1.212346,5.809856
0.020000,8.997414,9.727786,9.479052,11.168234,7.300680,1.359158,5.805620
0.020000,9.198181,9.623373,9.705347,11.314735,7.325055,1.218722,5.801661
0.020000,9.401152,9.516828,9.934582,11.461776,7.352019,1.348215,5.797987
0.020000,9.606354,9.408188,10.166769,11.609342,7.378324,1.315248,5.794609
0.020000,9.813818,9.297491,10.401918,11.757439,7.404858,1.326684,5.791537
0.020000,10.023577,9.184783,10.640040,11.906077,7.431892,1.351696,5.788779
0.020000,10.235667,9.070112,10.881145,12.055266,7.459458,1.378319,5.786346
0.020000,10.450128,8.953530,11.125245,12.205011,7.487224,1.388320,5.784247
0.020000,10.667003,8.835095,11.372352,12.355330,7.515937,1.435617,5.782494
0.020000,10.886337,8.714866,11.622477,12.506244,7.545717,1.488997,5.781096
0.020000,11.108181,8.592912,11.875632,12.657749,7.575274,1.477837,5.780065
0.020000,11.332587,8.469302,12.131829,12.809885,7.606778,1.575210,5.779411
0.020000,11.559611,8.344114,12.391082,12.962657,7.638624,1.592310,5.779146
0.020000,11.789314,8.217429,12.653404,13.116090,7.671637,1.650646,5.779282
0.020000,12.021761,8.089335,12.918808,13.270208,7.705881,1.712217,5.779831
0.020000,12.257018,7.959926,13.187309,13.425033,7.741272,1.769534,5.780806
0.020000,12.495157,7.829301,13.458921,13.580595,7.778091,1.840980,5.782219
0.020000,12.736253,7.697568,13.733659,13.736915,7.816002,1.895521,5.784086
0.020000,12.980386,7.564840,14.011540,13.894018,7.855171,1.958437,5.786419
0.020000,13.227639,7.431240,14.292579,14.051954,7.896796,2.081279,5.789234
0.020000,13.478098,7.296896,14.576793,14.210718,7.938192,2.069791,5.792546
0.020000,13.731853,7.161948,14.864201,14.370388,7.983485,2.264631,5.796370
0.020000,13.989000,7.026541,15.154820,14.530945,8.027865,2.219019,5.800723
0.020000,14.249635,6.890834,15.448669,14.692445,8.074982,2.355823,5.805622
0.020000,14.513859,6.754992,15.745767,14.854914,8.123433,2.422586,5.811083
0.020000,14.781777,6.619194,16.046134,15.018375,8.173049,2.480771,5.817126
0.020000,15.053493,6.483629,16.349791,15.182847,8.223634,2.529275,5.823767
0.020000,15.329117,6.348499,16.656759,15.348362,8.275765,2.606536,5.831026
0.020000,15.608759,6.214017,16.967057,15.514936,8.328666,2.645056,5.838922
0.020000,15.892531,6.080410,17.280708,15.682546,8.380510,2.592201,5.847473
0.020000,16.180543,5.947921,17.597733,15.851232,8.434302,2.689599,5.856699
0.020000,16.472908,5.816806,17.918152,16.020968,8.486822,2.625999,5.866618
0.020000,16.769735,5.687335,18.241987,16.191721,8.537634,2.540605,5.877249
0.020000,17.071131,5.559798,18.569256,16.363470,8.587419,2.489225,5.888609
0.020000,17.377199,5.434497,18.899979,16.536158,8.634435,2.350808,5.900716
0.020000,17.688036,5.311752,19.234174,16.709715,8.677845,2.170490,5.913585
0.020000,18.003733,5.191902,19.571855,16.884062,8.717334,1.974468,5.927231
0.020000,18.324370,5.075299,19.913036,17.059060,8.749926,1.629606,5.941664
0.020000,18.650018,4.962314,20.257728,17.234584,8.776160,1.311717,5.956895
0.020000,18.980733,4.853332,20.605937,17.410461,8.793884,0.886208,5.972929
0.020000,19.316557,4.748754,20.957667,17.586485,8.801192,0.365395,5.989770
0.020000,19.657511,4.648994,21.312915,17.762435,8.797512,-0.184041,6.007417
0.020000,20.003598,4.554479,21.671676,17.938044,8.780439,-0.853640,6.025862
0.020000,20.354796,4.465642,22.033937,18.113016,8.748590,-1.592427,6.045095
0.020000,20.711060,4.382925,22.399677,18.287030,8.700696,-2.394693,6.065098
0.020000,21.072316,4.306773,22.768872,18.459743,8.635667,-3.251460,6.085849
0.020000,21.438461,4.237629,23.141488,18.630796,8.552648,-4.150974,6.107317
0.020000,21.809359,4.175933,23.517483,18.799755,8.447931,-5.235813,6.129465
0.020000,22.184847,4.122114,23.896808,18.966265,8.325514,-6.120863,6.152249
0.020000,22.564729,4.076585,24.279409,19.130032,8.188349,-6.858255,6.175619
0.020000,22.948776,4.039741,24.665219,19.290516,8.024179,-8.208526,6.199517
0.020000,23.336732,4.011953,25.054169,19.447484,7.848434,-8.787214,6.223881
0.020000,23.727611,3.993583,25.445479,19.565495,5.900535,-97.394949,6.248596
0.020000,24.119364,3.984902,25.837328,19.592484,1.349430,-227.555287,6.273478
0.020000,24.509939,3.985965,26.227905,19.528825,-3.182907,-226.616852,0.015155
0.020000,24.870361,3.995572,26.588455,18.027489,-75.066838,-3594.196538,0.038236
0.020000,25.255684,4.015138,26.974275,19.290988,63.174944,6912.089090,0.063214
0.020000,25.637404,4.044030,27.357086,19.140598,-7.519480,-3534.721178,0.087846
0.020000,26.015231,4.081929,27.736809,18.986147,-7.722553,-10.153636,0.112058
0.020000,26.388900,4.128483,28.113367,18.827901,-7.912281,-9.486419,0.135783
0.020000,26.758176,4.183313,28.486691,18.666175,-8.086287,-8.700295,0.158958
0.020000,27.122851,4.246016,28.856717,18.501320,-8.242754,-7.823332,0.181526
0.020000,27.482751,4.316173,29.223392,18.333712,-8.380433,-6.883987,0.203439
0.020000,27.837732,4.393354,29.586667,18.163749,-8.498119,-5.884270,0.224655
0.020000,28.187684,4.477119,29.946504,17.991860,-8.594473,-4.817726,0.245137
0.020000,28.532522,4.567027,30.302870,17.818317,-8.677147,-4.133698,0.264858
0.020000,28.872195,4.662637,30.655742,17.643587,-8.736512,-2.968241,0.283795
0.020000,29.206674,4.763512,31.005102,17.467983,-8.780203,-2.184543,0.301933
0.020000,29.535957,4.869227,31.350938,17.291825,-8.807903,-1.385003,0.319263
0.020000,29.860062,4.979364,31.693246,17.115394,-8.821526,-0.681162,0.335778
0.020000,30.179030,5.093518,32.032025,16.938961,-8.821630,-0.005186,0.351480
0.020000,30.492914,5.211300,32.367280,16.762744,-8.810871,0.537930,0.366372
