dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002087,14.614998,0.000650,0.064963,3.248171,162.408572,6.281314
0.020000,0.001863,14.614998,0.000873,0.011186,-2.688850,-296.851064,6.281515
0.020000,0.001415,14.614999,0.001321,0.022377,0.559505,162.417727,6.281916
0.020000,0.000744,14.615000,0.001992,0.033574,0.559870,0.018266,6.282518
0.020000,0.001611,14.615000,0.002860,0.043365,0.489561,-3.515442,0.000136
0.020000,0.013486,14.615008,0.014734,0.593734,27.518419,1351.442904,0.001142
0.020000,0.027729,14.615033,0.028978,0.712185,5.922565,-1079.792704,0.002349
0.020000,0.044344,14.615083,0.045593,0.830725,5.926989,0.221196,0.003760
0.020000,0.063332,14.615170,0.064581,0.949431,5.935342,0.417649,0.005376
0.020000,0.084688,14.615304,0.085938,1.067826,5.919716,-0.781325,0.007197
0.020000,0.108411,14.615499,0.109661,1.186174,5.917409,-0.115326,0.009225
0.020000,0.134498,14.615769,0.135750,1.304419,5.912275,-0.256721,0.011462
0.020000,0.162952,14.616130,0.164206,1.422803,5.919169,0.344713,0.013908
0.020000,0.193766,14.616599,0.195024,1.540905,5.905103,-0.703304,0.016567
0.020000,0.226936,14.617197,0.228199,1.658742,5.891858,-0.662263,0.019438
0.020000,0.262466,14.617942,0.263737,1.776909,5.908361,0.825191,0.022526
0.020000,0.300347,14.618858,0.301629,1.894589,5.883970,-1.219562,0.025830
0.020000,0.340576,14.619968,0.341873,2.012203,5.880718,-0.162621,0.029355
0.020000,0.383150,14.621298,0.384468,2.129778,5.878739,-0.098949,0.033101
0.020000,0.428068,14.622875,0.429413,2.247255,5.873874,-0.243244,0.037072
0.020000,0.475323,14.624727,0.476705,2.364579,5.866205,-0.383468,0.041269
0.020000,0.524910,14.626884,0.526339,2.481696,5.855825,-0.518951,0.045697
0.020000,0.576821,14.629379,0.578310,2.598553,5.842845,-0.649009,0.050355
0.020000,0.631057,14.632245,0.632621,2.715562,5.850449,0.380196,0.055249
0.020000,0.687603,14.635518,0.689262,2.832049,5.824362,-1.304337,0.060380
0.020000,0.746462,14.639235,0.748238,2.948816,5.838367,0.700240,0.065752
0.020000,0.807620,14.643434,0.809540,3.065098,5.814067,-1.215015,0.071367
0.020000,0.871071,14.648157,0.873166,3.181298,5.810007,-0.203022,0.077227
0.020000,0.936806,14.653446,0.939114,3.297364,5.803288,-0.335907,0.083336
0.020000,1.004815,14.659344,1.007378,3.413246,5.794098,-0.459510,0.089696
0.020000,1.075089,14.665898,1.077958,3.528958,5.785624,-0.423719,0.096311
0.020000,1.147623,14.673157,1.150853,3.644776,5.790923,0.264945,0.103182
0.020000,1.222395,14.681169,1.226054,3.760035,5.762941,-1.399092,0.110312
0.020000,1.299404,14.689987,1.303565,3.875575,5.776985,0.702193,0.117703
0.020000,1.378630,14.699662,1.383381,3.990764,5.759452,-0.876652,0.125358
0.020000,1.460062,14.710252,1.465498,4.105864,5.755005,-0.222311,0.133279
0.020000,1.543685,14.721812,1.549916,4.220896,5.751568,-0.171897,0.141466
0.020000,1.629482,14.734401,1.636632,4.335823,5.746400,-0.258388,0.149922
0.020000,1.717440,14.748080,1.725647,4.450729,5.745263,-0.056860,0.158647
0.020000,1.807541,14.762911,1.816961,4.565699,5.748520,0.162853,0.167643
0.020000,1.899764,14.778958,1.910570,4.680443,5.737201,-0.565907,0.176909
0.020000,1.994093,14.796285,2.006476,4.795332,5.744441,0.361958,0.186444
0.020000,2.090507,14.814962,2.104683,4.910319,5.749326,0.244256,0.196249
0.020000,2.188983,14.835056,2.205188,5.025274,5.747769,-0.077818,0.206322
0.020000,2.289499,14.856637,2.307995,5.140345,5.753558,0.289449,0.216660
0.020000,2.392035,14.879776,2.413109,5.255692,5.767352,0.689687,0.227262
0.020000,2.496562,14.904548,2.520532,5.371132,5.771977,0.231220,0.238123
0.020000,2.603056,14.931024,2.630267,5.486782,5.782522,0.527288,0.249239
0.020000,2.711490,14.959281,2.742323,5.602769,5.799350,0.841374,0.260605
0.020000,2.821838,14.989395,2.856706,5.719152,5.819170,0.991021,0.272215
0.020000,2.934069,15.021441,2.973422,5.835836,5.834172,0.750080,0.284062
0.020000,3.048153,15.055498,3.092482,5.952973,5.856849,1.133846,0.296138
0.020000,3.164062,15.091643,3.213895,6.070668,5.884738,1.394482,0.308434
0.020000,3.281762,15.129955,3.337674,6.188923,5.912791,1.402621,0.320939
0.020000,3.401219,15.170512,3.463828,6.307710,5.939304,1.325640,0.333643
0.020000,3.522402,15.213391,3.592373,6.427284,5.978730,1.971315,0.346534
0.020000,3.645276,15.258672,3.723325,6.547575,6.014536,1.790331,0.359598
0.020000,3.769805,15.306431,3.856698,6.668641,6.053325,1.939439,0.372820
0.020000,3.895953,15.356745,3.992509,6.790576,6.096741,2.170769,0.386185
0.020000,4.023684,15.409689,4.130778,6.913453,6.143843,2.355139,0.399677
0.020000,4.152962,15.465338,4.271525,7.037333,6.193983,2.506968,0.413277
0.020000,4.283747,15.523765,4.414768,7.162162,6.241473,2.374498,0.426969
0.020000,4.416005,15.585041,4.560531,7.288149,6.299325,2.892623,0.440731
0.020000,4.549696,15.649235,4.708836,7.415227,6.353915,2.729512,0.454545
0.020000,4.684784,15.716413,4.859705,7.543458,6.411559,2.882193,0.468389
0.020000,4.821229,15.786641,5.013163,7.672889,6.471553,2.999668,0.482241
0.020000,4.958995,15.859980,5.169234,7.803548,6.532962,3.070449,0.496081
0.020000,5.098047,15.936488,5.327943,7.935479,6.596541,3.178984,0.509885
