dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.500000,0.000650,0.064963,3.248171,162.408572,6.281314
0.020000,0.000000,13.500000,0.003248,0.194890,6.496343,162.408572,6.281515
0.020000,0.000000,13.500000,0.008445,0.324817,6.496343,0.000000,6.281916
0.020000,0.000000,13.500000,0.016241,0.454744,6.496343,0.000000,6.282518
0.020000,0.001763,13.500000,0.026635,0.584671,6.496343,0.000000,0.000136
0.020000,0.014759,13.500008,0.039628,0.714598,6.496343,-0.000000,0.001142
0.020000,0.030349,13.500036,0.055219,0.844525,6.496343,0.000000,0.002349
0.020000,0.048536,13.500091,0.073409,0.974451,6.496343,0.000000,0.003760
0.020000,0.069326,13.500186,0.094197,1.104378,6.496343,0.000000,0.005376
0.020000,0.092713,13.500333,0.117584,1.234305,6.496343,0.000000,0.007197
0.020000,0.118697,13.500547,0.143569,1.364232,6.496343,0.000000,0.009225
0.020000,0.147278,13.500842,0.172153,1.494159,6.496343,-0.000000,0.011462
0.020000,0.178459,13.501238,0.203336,1.624086,6.496343,0.000000,0.013908
0.020000,0.212238,13.501752,0.237117,1.754013,6.496343,-0.000000,0.016567
0.020000,0.248608,13.502407,0.273496,1.883939,6.496343,0.000000,0.019438
0.020000,0.287580,13.503225,0.312474,2.013866,6.496343,-0.000000,0.022526
0.020000,0.329145,13.504230,0.354051,2.143793,6.496343,0.000000,0.025830
0.020000,0.373301,13.505449,0.398226,2.273720,6.496343,0.000000,0.029355
0.020000,0.420051,13.506909,0.444999,2.403647,6.496343,-0.000000,0.033101
0.020000,0.469393,13.508641,0.494372,2.533574,6.496343,0.000000,0.037072
0.020000,0.521326,13.510676,0.546342,2.663501,6.496343,-0.000000,0.041269
0.020000,0.575844,13.513048,0.600912,2.793427,6.496343,0.000000,0.045697
0.020000,0.632944,13.515792,0.658080,2.923354,6.496343,-0.000000,0.050355
0.020000,0.692629,13.518947,0.717846,3.053281,6.496343,0.000000,0.055249
0.020000,0.754886,13.522550,0.780211,3.183208,6.496343,-0.000000,0.060380
0.020000,0.819723,13.526644,0.845174,3.313135,6.496343,0.000000,0.065752
0.020000,0.887127,13.531273,0.912736,3.443062,6.496343,0.000000,0.071367
0.020000,0.957093,13.536480,0.982897,3.572989,6.496343,0.000000,0.077227
0.020000,1.029618,13.542315,1.055656,3.702915,6.496343,-0.000000,0.083336
0.020000,1.104693,13.548826,1.131013,3.832842,6.496343,0.000000,0.089696
0.020000,1.182310,13.556066,1.208969,3.962769,6.496343,0.000000,0.096311
0.020000,1.262466,13.564087,1.289524,4.092696,6.496343,-0.000000,0.103182
0.020000,1.345144,13.572946,1.372677,4.222623,6.496343,0.000000,0.110312
0.020000,1.430340,13.582701,1.458429,4.352550,6.496343,-0.000000,0.117703
0.020000,1.518039,13.593412,1.546779,4.482477,6.496343,0.000000,0.125358
0.020000,1.608228,13.605140,1.637728,4.612403,6.496343,0.000000,0.133279
0.020000,1.700894,13.617950,1.731275,4.742330,6.496343,-0.000000,0.141466
0.020000,1.796020,13.631908,1.827421,4.872257,6.496343,0.000000,0.149922
0.020000,1.893590,13.647082,1.926166,5.002184,6.496343,0.000000,0.158647
0.020000,1.993589,13.663542,2.027509,5.132111,6.496343,0.000000,0.167643
