dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002087,12.385002,0.000650,0.064963,3.248171,162.408572,6.281314
0.020000,-0.001863,12.385002,0.000873,0.011186,-2.688850,-296.851064,6.281515
0.020000,-0.001415,12.385001,0.001321,0.022377,0.559505,162.417727,6.281916
0.020000,-0.000744,12.385000,0.001992,0.033574,0.559870,0.018266,6.282518
0.020000,0.001915,12.385000,0.004651,0.132939,4.968276,220.420306,0.000136
0.020000,0.016031,12.385009,0.018767,0.705816,28.643829,1183.777664,0.001142
0.020000,0.032968,12.385039,0.035704,0.846825,7.050431,-1079.669923,0.002349
0.020000,0.052729,12.385099,0.055465,0.988045,7.061025,0.529724,0.003760
0.020000,0.075320,12.385202,0.078057,1.129589,7.077174,0.807437,0.005376
0.020000,0.100738,12.385362,0.103475,1.270902,7.065658,-0.575802,0.007197
0.020000,0.128983,12.385594,0.131721,1.412318,7.070832,0.258703,0.009225
0.020000,0.160057,12.385915,0.162797,1.553788,7.073475,0.132116,0.011462
0.020000,0.193967,12.386346,0.196709,1.695613,7.091272,0.889860,0.013908
0.020000,0.230709,12.386905,0.233455,1.837311,7.084899,-0.318653,0.016567
0.020000,0.270281,12.387618,0.273034,1.978917,7.080261,-0.231904,0.019438
0.020000,0.312694,12.388508,0.315457,2.121154,7.111875,1.580731,0.022526
0.020000,0.357942,12.389602,0.360718,2.263062,7.095416,-0.822984,0.025830
0.020000,0.406027,12.390929,0.408821,2.405160,7.104865,0.472469,0.029355
0.020000,0.456952,12.392520,0.459771,2.547490,7.116500,0.581731,0.033101
0.020000,0.510719,12.394407,0.513571,2.689996,7.125304,0.440203,0.037072
0.020000,0.567328,12.396626,0.570223,2.832622,7.131315,0.300566,0.041269
0.020000,0.626778,12.399212,0.629730,2.975314,7.134580,0.163237,0.045697
0.020000,0.689066,12.402206,0.692090,3.118017,7.135153,0.028641,0.050355
0.020000,0.754200,12.405648,0.757315,3.261233,7.160806,1.282654,0.055249
0.020000,0.822170,12.409582,0.825398,3.404159,7.146303,-0.725145,0.060380
0.020000,0.892984,12.414054,0.896353,3.547763,7.180183,1.694006,0.065752
0.020000,0.966633,12.419111,0.970176,3.691125,7.168119,-0.603181,0.071367
0.020000,1.043116,12.424804,1.046870,3.834733,7.180390,0.613527,0.077227
0.020000,1.122430,12.431185,1.126441,3.978520,7.189350,0.447993,0.083336
0.020000,1.204570,12.438309,1.208889,4.122421,7.195075,0.286286,0.089696
0.020000,1.289530,12.446233,1.294218,4.266446,7.201262,0.309334,0.096311
0.020000,1.377310,12.455018,1.382436,4.410918,7.223564,1.115093,0.103182
0.020000,1.467892,12.464723,1.473537,4.555015,7.204859,-0.935240,0.110312
0.020000,1.561277,12.475416,1.567531,4.699737,7.236120,1.563026,0.117703
0.020000,1.657448,12.487162,1.664417,4.844297,7.228007,-0.405644,0.125358
0.020000,1.756395,12.500029,1.764197,4.988985,7.234402,0.319774,0.133279
0.020000,1.858103,12.514089,1.866873,5.133794,7.240448,0.302270,0.141466
0.020000,1.962558,12.529416,1.972446,5.278646,7.242557,0.105490,0.149922
0.020000,2.069741,12.546084,2.080918,5.423595,7.247472,0.245728,0.158647
0.020000,2.179636,12.564174,2.192292,5.568702,7.255369,0.394872,0.167643
0.020000,2.292216,12.583762,2.306563,5.713558,7.242803,-0.628334,0.176909
0.020000,2.407459,12.604932,2.423734,5.858556,7.249878,0.353746,0.186444
0.020000,2.525339,12.627767,2.543805,6.003572,7.250781,0.045148,0.196249
0.020000,2.645824,12.652352,2.666773,6.148375,7.240159,-0.531068,0.206322
0.020000,2.768881,12.678772,2.792634,6.293065,7.234530,-0.281461,0.216660
0.020000,2.894477,12.707117,2.921389,6.437753,7.234385,-0.007259,0.227262
0.020000,3.022572,12.737473,3.053032,6.582120,7.218351,-0.801666,0.238123
0.020000,3.153122,12.769930,3.187556,6.726212,7.204573,-0.688939,0.249239
0.020000,3.286083,12.804579,3.324957,6.870075,7.193180,-0.569612,0.260605
0.020000,3.421408,12.841508,3.465231,7.013672,7.179841,-0.666978,0.272215
0.020000,3.559042,12.880808,3.608366,7.156766,7.154688,-1.257636,0.284062
0.020000,3.698931,12.922568,3.754355,7.299422,7.132791,-1.094855,0.296138
0.020000,3.841015,12.966876,3.903187,7.441640,7.110910,-1.094076,0.308434
0.020000,3.985233,13.013820,4.054853,7.583293,7.082672,-1.411882,0.320939
0.020000,4.131516,13.063484,4.209337,7.724211,7.045871,-1.840062,0.333643
0.020000,4.279799,13.115952,4.366629,7.864573,7.018131,-1.386965,0.346534
0.020000,4.430007,13.171306,4.526712,8.004157,6.979185,-1.947318,0.359598
0.020000,4.582066,13.229623,4.689570,8.142900,6.937175,-2.100508,0.372820
0.020000,4.735898,13.290978,4.855186,8.280785,6.894226,-2.147461,0.386185
0.020000,4.891422,13.355442,5.023541,8.417772,6.849370,-2.242761,0.399677
0.020000,5.048559,13.423083,5.194618,8.553814,6.802071,-2.364989,0.413277
0.020000,5.207221,13.493963,5.368392,8.688729,6.745763,-2.815374,0.426969
0.020000,5.367325,13.568140,5.544845,8.822662,6.696654,-2.455473,0.440731
0.020000,5.528786,13.645667,5.723954,8.955436,6.638670,-2.899162,0.454545
0.020000,5.691515,13.726592,5.905695,9.087036,6.580021,-2.932488,0.468389
0.020000,5.855427,13.810956,6.090044,9.217445,6.520430,-2.979556,0.482241
0.020000,6.020436,13.898796,6.276976,9.346632,6.459399,-3.051535,0.496081
0.020000,6.186458,13.990142,6.466468,9.474602,6.398492,-3.045338,0.509885
0.020000,6.353407,14.085018,6.658493,9.601250,6.332408,-3.304199,0.523630
0.020000,6.521205,14.183443,6.853027,9.726687,6.271817,-3.029575,0.537295
0.020000,6.689771,14.285427,7.050043,9.850806,6.205968,-3.292415,0.550856
0.020000,6.859029,14.390979,7.249516,9.973663,6.142817,-3.157584,0.564289
0.020000,7.028909,14.500096,7.451422,10.095256,6.079688,-3.156434,0.577574
0.020000,7.199341,14.612773,7.655734,10.215600,6.017169,-3.125956,0.590686
0.020000,7.370262,14.728999,7.862428,10.334715,5.955778,-3.069549,0.603605
0.020000,7.541613,14.848756,8.071480,10.452619,5.895203,-3.028734,0.616307
0.020000,7.713340,14.972022,8.282867,10.569359,5.836961,-2.912108,0.628773
0.020000,7.885394,15.098768,8.496566,10.684935,5.778836,-2.906253,0.640982
0.020000,8.057733,15.228962,8.712554,10.799416,5.724028,-2.740417,0.652914
0.020000,8.230319,15.362566,8.930811,10.912823,5.670343,-2.684240,0.664549
0.020000,8.403121,15.499538,9.151315,11.025194,5.618562,-2.589057,0.675869
0.020000,8.576114,15.639832,9.374046,11.136572,5.568903,-2.482924,0.686857
0.020000,8.749281,15.783399,9.598986,11.247001,5.521444,-2.372985,0.697494
0.020000,8.922608,15.930183,9.826116,11.356485,5.474191,-2.362624,0.707766
0.020000,9.096090,16.080128,10.055418,11.465120,5.431770,-2.121068,0.717655
0.020000,9.269729,16.233172,10.286876,11.572882,5.388123,-2.182347,0.727146
0.020000,9.443530,16.389251,10.520473,11.679855,5.348611,-1.975600,0.736225
0.020000,9.617507,16.548298,10.756194,11.786029,5.308692,-1.995929,0.744879
0.020000,9.791681,16.710242,10.994022,11.891429,5.270000,-1.934616,0.753092
0.020000,9.966078,16.875010,11.233944,11.996100,5.233559,-1.822058,0.760852
0.020000,10.140146,17.041962,11.475135,12.059515,3.170787,-103.138569,0.768123
