dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002135,14.614998,0.000650,0.064950,3.247515,162.375725,6.281271
0.020000,0.001906,14.614998,0.000878,0.011441,-2.675450,-296.148237,6.281476
0.020000,0.001448,14.614999,0.001336,0.022886,0.572256,162.385333,6.281887
0.020000,0.000761,14.615000,0.002023,0.034339,0.572640,0.019169,6.282503
0.020000,0.001603,14.615000,0.002864,0.042075,0.386811,-9.291416,0.000139
0.020000,0.013449,14.615008,0.014711,0.592326,27.512529,1356.285890,0.001167
0.020000,0.027659,14.615033,0.028921,0.710487,5.908041,-1080.224418,0.002402
0.020000,0.044234,14.615085,0.045495,0.828738,5.912551,0.225518,0.003846
0.020000,0.063177,14.615173,0.064438,0.947156,5.920930,0.418921,0.005498
0.020000,0.084481,14.615310,0.085744,1.065255,5.904930,-0.800009,0.007362
0.020000,0.108146,14.615509,0.109410,1.183305,5.902482,-0.122378,0.009437
0.020000,0.134170,14.615785,0.135435,1.301247,5.897138,-0.267189,0.011725
0.020000,0.162554,14.616153,0.163821,1.419327,5.903987,0.342452,0.014228
0.020000,0.193293,14.616632,0.194564,1.537120,5.889642,-0.717256,0.016948
0.020000,0.226380,14.617241,0.227656,1.654638,5.875874,-0.688429,0.019887
0.020000,0.261822,14.618002,0.263106,1.772491,5.892670,0.839826,0.023046
0.020000,0.299607,14.618937,0.300903,1.889842,5.867546,-1.256206,0.026429
0.020000,0.339733,14.620070,0.341045,2.007124,5.864127,-0.170949,0.030036
0.020000,0.382199,14.621428,0.383533,2.124363,5.861938,-0.109437,0.033871
0.020000,0.427000,14.623037,0.428363,2.241499,5.856797,-0.257083,0.037936
0.020000,0.474132,14.624927,0.475532,2.358475,5.848788,-0.400416,0.042234
0.020000,0.523587,14.627129,0.525037,2.475235,5.838014,-0.538724,0.046767
0.020000,0.575359,14.629676,0.576871,2.591727,5.824588,-0.671279,0.051538
0.020000,0.629448,14.632602,0.631039,2.708376,5.832453,0.393228,0.056550
0.020000,0.685838,14.635943,0.687529,2.824478,5.805081,-1.368567,0.061805
0.020000,0.744533,14.639737,0.746346,2.940876,5.819909,0.741375,0.067308
0.020000,0.805518,14.644024,0.807481,3.056769,5.794650,-1.262940,0.073059
0.020000,0.868786,14.648845,0.870933,3.172575,5.790330,-0.216022,0.079064
0.020000,0.934329,14.654244,0.936698,3.288242,5.783312,-0.350861,0.085323
0.020000,1.002137,14.660266,1.004772,3.403718,5.773796,-0.475800,0.091840
0.020000,1.072199,14.666958,1.075153,3.519044,5.766320,-0.373847,0.098619
0.020000,1.144508,14.674370,1.147842,3.634427,5.769138,0.140934,0.105661
0.020000,1.219047,14.682550,1.222827,3.749295,5.743433,-1.285254,0.112968
0.020000,1.295808,14.691553,1.300115,3.864384,5.754425,0.549573,0.120545
0.020000,1.374776,14.701433,1.379699,3.979188,5.740191,-0.711672,0.128392
0.020000,1.455937,14.712246,1.461576,4.093868,5.734036,-0.307759,0.136511
0.020000,1.539274,14.724050,1.545746,4.208481,5.730636,-0.169993,0.144904
0.020000,1.624773,14.736904,1.632206,4.322992,5.725556,-0.254017,0.153572
0.020000,1.712418,14.750872,1.720957,4.437546,5.727697,0.107070,0.162517
0.020000,1.802191,14.766017,1.811998,4.552054,5.725403,-0.114713,0.171738
0.020000,1.894071,14.782402,1.905327,4.666470,5.720789,-0.230715,0.181236
0.020000,1.988037,14.800096,2.000945,4.780905,5.721733,0.047235,0.191010
0.020000,2.084074,14.819167,2.098857,4.895598,5.734689,0.647779,0.201059
0.020000,2.182155,14.839685,2.199061,5.010205,5.730347,-0.217084,0.211382
0.020000,2.282258,14.861721,2.301561,5.124985,5.738981,0.431701,0.221975
0.020000,2.384361,14.885348,2.406362,5.240047,5.753106,0.706240,0.232837
0.020000,2.488435,14.910640,2.513465,5.355154,5.755363,0.112831,0.243962
0.020000,2.594456,14.937673,2.622878,5.470659,5.775209,0.992301,0.255346
0.020000,2.702395,14.966521,2.734606,5.586375,5.785828,0.530967,0.266983
0.020000,2.812226,14.997264,2.848658,5.702608,5.811645,1.290837,0.278866
0.020000,2.923917,15.029978,2.965042,5.819206,5.829906,0.913055,0.290987
0.020000,3.037440,15.064742,3.083768,5.936300,5.854675,1.238477,0.303339
0.020000,3.152762,15.101636,3.204848,6.054001,5.885058,1.519120,0.315910
0.020000,3.269850,15.140737,3.328292,6.172206,5.910262,1.260223,0.328689
0.020000,3.388671,15.182125,3.454116,6.291185,5.948970,1.935401,0.341665
0.020000,3.509191,15.225880,3.582332,6.410828,5.982106,1.656775,0.354824
0.020000,3.631376,15.272079,3.712960,6.531361,6.026687,2.229039,0.368152
0.020000,3.755189,15.320801,3.846014,6.652736,6.068715,2.101423,0.381632
0.020000,3.880595,15.372123,3.981515,6.775048,6.115645,2.346510,0.395249
0.020000,4.007556,15.426120,4.119482,6.898356,6.165362,2.485839,0.408985
0.020000,4.136035,15.482867,4.259935,7.022653,6.214878,2.475825,0.422820
0.020000,4.265996,15.542437,4.402898,7.148123,6.273492,2.930665,0.436735
0.020000,4.397399,15.604900,4.548391,7.274677,6.327697,2.710255,0.450709
0.020000,4.530207,15.670325,4.696441,7.402456,6.388939,3.062107,0.464722
0.020000,4.664384,15.738779,4.847070,7.531473,6.450837,3.094884,0.478751
0.020000,4.799891,15.810324,5.000305,7.661744,6.513552,3.135743,0.492773
0.020000,4.936691,15.885022,5.156171,7.793287,6.577171,3.180947,0.506765
0.020000,5.074749,15.962929,5.314693,7.926121,6.641709,3.226903,0.520705
0.020000,5.214028,16.044098,5.475899,8.060297,6.708776,3.353387,0.534569
0.020000,5.354495,16.128581,5.639814,8.195771,6.773710,3.246700,0.548332
0.020000,5.496117,16.216423,5.806466,8.332585,6.840702,3.349574,0.561971
0.020000,5.638861,16.307665,5.975880,8.470698,6.905664,3.248120,0.575463
0.020000,5.782698,16.402347,6.148082,8.610109,6.970553,3.244448,0.588784
0.020000,5.927599,16.500500,6.323098,8.750799,7.034498,3.197252,0.601912
0.020000,6.073540,16.602155,6.500953,8.892738,7.096934,3.121787,0.614824
0.020000,6.220497,16.707334,6.681671,9.035905,7.158335,3.070038,0.627498
0.020000,6.368449,16.816059,6.865276,9.180254,7.217449,2.955719,0.639913
0.020000,6.517378,16.928344,7.051792,9.325767,7.275683,2.911711,0.652048
