dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.500000,0.000650,0.064950,3.247515,162.375725,6.281271
0.020000,0.000000,13.500000,0.003248,0.194851,6.495029,162.375725,6.281476
0.020000,0.000000,13.500000,0.008444,0.324751,6.495029,0.000000,6.281887
0.020000,0.000000,13.500000,0.016238,0.454652,6.495029,0.000000,6.282503
0.020000,0.001758,13.500000,0.026630,0.584553,6.495029,0.000000,0.000139
0.020000,0.014751,13.500009,0.039620,0.714453,6.495029,-0.000000,0.001167
0.020000,0.030337,13.500036,0.055208,0.844354,6.495029,0.000000,0.002402
0.020000,0.048521,13.500093,0.073394,0.974254,6.495029,0.000000,0.003846
0.020000,0.069307,13.500190,0.094178,1.104155,6.495029,0.000000,0.005498
0.020000,0.092689,13.500341,0.117560,1.234056,6.495029,0.000000,0.007362
0.020000,0.118668,13.500559,0.143540,1.363956,6.495029,-0.000000,0.009437
0.020000,0.147243,13.500861,0.172118,1.493857,6.495029,0.000000,0.011725
0.020000,0.178418,13.501266,0.203294,1.623757,6.495029,0.000000,0.014228
0.020000,0.212189,13.501792,0.237069,1.753658,6.495029,-0.000000,0.016948
0.020000,0.248552,13.502462,0.273441,1.883558,6.495029,0.000000,0.019887
0.020000,0.287516,13.503298,0.312411,2.013459,6.495029,-0.000000,0.023046
0.020000,0.329071,13.504327,0.353979,2.143360,6.495029,0.000000,0.026429
0.020000,0.373218,13.505573,0.398145,2.273260,6.495029,0.000000,0.030036
0.020000,0.419958,13.507067,0.444909,2.403161,6.495029,-0.000000,0.033871
0.020000,0.469289,13.508839,0.494272,2.533061,6.495029,0.000000,0.037936
0.020000,0.521208,13.510921,0.546232,2.662962,6.495029,0.000000,0.042234
0.020000,0.575713,13.513348,0.600790,2.792862,6.495029,0.000000,0.046767
0.020000,0.632798,13.516156,0.657946,2.922763,6.495029,-0.000000,0.051538
0.020000,0.692467,13.519384,0.717701,3.052664,6.495029,0.000000,0.056550
0.020000,0.754707,13.523071,0.780053,3.182564,6.495029,-0.000000,0.061805
0.020000,0.819525,13.527261,0.845003,3.312465,6.495029,0.000000,0.067308
0.020000,0.886907,13.531998,0.912552,3.442365,6.495029,-0.000000,0.073059
0.020000,0.956850,13.537328,0.982698,3.572266,6.495029,0.000000,0.079064
0.020000,1.029349,13.543300,1.055442,3.702167,6.495029,-0.000000,0.085323
0.020000,1.104395,13.549965,1.130785,3.832067,6.495029,0.000000,0.091840
0.020000,1.181980,13.557376,1.208725,3.961968,6.495029,-0.000000,0.098619
0.020000,1.262101,13.565588,1.289263,4.091868,6.495029,0.000000,0.105661
0.020000,1.344739,13.574657,1.372400,4.221769,6.495029,0.000000,0.112968
0.020000,1.429890,13.584644,1.458134,4.351669,6.495029,-0.000000,0.120545
0.020000,1.517540,13.595610,1.546466,4.481570,6.495029,0.000000,0.128392
0.020000,1.607674,13.607619,1.637397,4.611471,6.495029,-0.000000,0.136511
0.020000,1.700277,13.620735,1.730925,4.741371,6.495029,0.000000,0.144904
0.020000,1.795334,13.635027,1.827052,4.871272,6.495029,0.000000,0.153572
0.020000,1.892827,13.650564,1.925776,5.001172,6.495029,-0.000000,0.162517
0.020000,1.992739,13.667419,2.027099,5.131073,6.495029,0.000000,0.171738
0.020000,2.095044,13.685664,2.131019,5.260974,6.495029,0.000000,0.181236
0.020000,2.199721,13.705375,2.237537,5.390874,6.495029,0.000000,0.191010
0.020000,2.306748,13.726628,2.346654,5.520775,6.495029,-0.000000,0.201059
0.020000,2.416095,13.749503,2.458368,5.650675,6.495029,0.000000,0.211382
0.020000,2.527733,13.774078,2.572681,5.780576,6.495029,-0.000000,0.221975
0.020000,2.641635,13.800436,2.689592,5.910476,6.495029,0.000000,0.232837
0.020000,2.757762,13.828657,2.809100,6.040377,6.495029,0.000000,0.243962
0.020000,2.876083,13.858825,2.931207,6.170278,6.495029,-0.000000,0.255346
0.020000,2.996556,13.891024,3.055911,6.300178,6.495029,0.000000,0.266983
0.020000,3.119146,13.925338,3.183214,6.430079,6.495029,0.000000,0.278866
0.020000,3.243809,13.961851,3.313114,6.559979,6.495029,-0.000000,0.290987
