dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002135,12.385002,0.000650,0.064950,3.247515,162.375725,6.281271
0.020000,-0.001906,12.385002,0.000878,0.011441,-2.675450,-296.148237,6.281476
0.020000,-0.001448,12.385001,0.001336,0.022886,0.572256,162.385333,6.281887
0.020000,-0.000761,12.385000,0.002023,0.034339,0.572640,0.019169,6.282503
0.020000,0.001913,12.385000,0.004697,0.133693,4.967669,219.751478,0.000139
0.020000,0.016052,12.385009,0.018836,0.706968,28.663751,1184.804067,0.001167
0.020000,0.033016,12.385040,0.035800,0.848204,7.061830,-1080.096046,0.002402
0.020000,0.052809,12.385101,0.055593,0.989660,7.072814,0.549205,0.003846
0.020000,0.075438,12.385207,0.078222,1.131447,7.089342,0.826409,0.005498
0.020000,0.100897,12.385371,0.103682,1.273000,7.077656,-0.584320,0.007362
0.020000,0.129190,12.385609,0.131976,1.414661,7.083042,0.269342,0.009437
0.020000,0.160315,12.385938,0.163103,1.556378,7.085843,0.140008,0.011725
0.020000,0.194282,12.386379,0.197072,1.698460,7.104093,0.912504,0.014228
0.020000,0.231086,12.386952,0.233881,1.840417,7.097828,-0.313231,0.016948
0.020000,0.270724,12.387682,0.273526,1.982277,7.093045,-0.239164,0.019887
0.020000,0.313210,12.388595,0.316022,2.124791,7.125675,1.631515,0.023046
0.020000,0.358536,12.389716,0.361361,2.266968,7.108830,-0.842272,0.026429
0.020000,0.406704,12.391076,0.409548,2.409342,7.118707,0.493850,0.030036
0.020000,0.457717,12.392707,0.460587,2.551957,7.130751,0.602204,0.033871
0.020000,0.511577,12.394641,0.514482,2.694755,7.139892,0.457086,0.037936
0.020000,0.568285,12.396916,0.571236,2.837678,7.146171,0.313927,0.042234
0.020000,0.627839,12.399567,0.630849,2.980671,7.149634,0.173166,0.046767
0.020000,0.690237,12.402637,0.693323,3.123677,7.150339,0.035245,0.051538
0.020000,0.755486,12.406166,0.758667,3.267219,7.177089,1.337488,0.056550
0.020000,0.823576,12.410200,0.826876,3.410452,7.161633,-0.772792,0.061805
0.020000,0.894516,12.414786,0.897964,3.554398,7.197310,1.783835,0.067308
0.020000,0.968296,12.419973,0.971926,3.698091,7.184662,-0.632375,0.073059
0.020000,1.044914,12.425811,1.048767,3.842037,7.197272,0.630504,0.079064
0.020000,1.124369,12.432357,1.128490,3.986166,7.206469,0.459837,0.085323
0.020000,1.206653,12.439664,1.211098,4.130413,7.212332,0.293149,0.091840
0.020000,1.291762,12.447794,1.296595,4.274817,7.220202,0.393475,0.098619
0.020000,1.379694,12.456806,1.384987,4.419616,7.239961,0.987987,0.105661
0.020000,1.470431,12.466764,1.476269,4.564100,7.224206,-0.787773,0.112968
0.020000,1.563972,12.477736,1.570452,4.709141,7.252064,1.392899,0.120545
0.020000,1.660303,12.489788,1.667534,4.854101,7.247968,-0.204771,0.128392
0.020000,1.759411,12.502992,1.767517,4.999145,7.252205,0.211820,0.136511
0.020000,1.861280,12.517420,1.870403,5.144306,7.258053,0.292422,0.144904
0.020000,1.965894,12.533149,1.976193,5.289502,7.259822,0.088422,0.153572
0.020000,2.073237,12.550257,2.084890,5.434865,7.268112,0.414531,0.162517
0.020000,2.183287,12.568822,2.196495,5.580232,7.268357,0.012213,0.171738
0.020000,2.296018,12.588926,2.311005,5.725488,7.262798,-0.277915,0.181236
0.020000,2.411404,12.610653,2.428419,5.870703,7.260765,-0.101681,0.191010
0.020000,2.529421,12.634089,2.548741,6.016100,7.269864,0.454948,0.201059
0.020000,2.650034,12.659321,2.671964,6.161175,7.253732,-0.806598,0.211382
0.020000,2.773208,12.686435,2.798087,6.306159,7.249195,-0.226856,0.221975
0.020000,2.898908,12.715523,2.927109,6.451093,7.246718,-0.123831,0.232837
0.020000,3.027089,12.746674,3.059021,6.595585,7.224568,-1.107496,0.243962
0.020000,3.157709,12.779978,3.193820,6.739958,7.218665,-0.295170,0.255346
0.020000,3.290718,12.815527,3.331498,6.883871,7.195654,-1.150531,0.266983
0.020000,3.426067,12.853412,3.472049,7.027577,7.185313,-0.517075,0.278866
0.020000,3.563701,12.893725,3.615464,7.170764,7.159318,-1.299714,0.290987
0.020000,3.703559,12.936554,3.761734,7.313459,7.134750,-1.228392,0.303339
0.020000,3.845581,12.981989,3.910847,7.455664,7.110293,-1.222868,0.315910
0.020000,3.989700,13.030117,4.062789,7.597114,7.072497,-1.889796,0.328689
0.020000,4.135848,13.081024,4.217549,7.738000,7.044260,-1.411850,0.341665
0.020000,4.283950,13.134792,4.375110,7.878041,7.002057,-2.110142,0.354824
0.020000,4.433935,13.191502,4.535457,8.017378,6.966842,-1.760771,0.368152
0.020000,4.585721,13.251232,4.698574,8.155808,6.921500,-2.267070,0.381632
0.020000,4.739230,13.314054,4.864440,8.293315,6.875367,-2.306699,0.395249
0.020000,4.894378,13.380039,5.033037,8.429837,6.826090,-2.463847,0.408985
0.020000,5.051079,13.449251,5.204342,8.565244,6.770358,-2.786565,0.422820
