dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.558247,26.000486,0.000651,0.065101,3.255071,162.753559,0.099494
0.020000,0.558524,26.000513,0.000930,0.013951,-2.557521,-290.629627,0.099244
0.020000,0.559079,26.000569,0.001488,0.027886,0.696763,162.714203,0.098744
0.020000,0.560007,26.000660,0.002420,0.046588,0.935102,11.916985,0.097994
0.020000,0.571481,26.001782,0.013949,0.576475,26.494313,1277.960536,0.096996
0.020000,0.585824,26.003169,0.028358,0.720465,7.199519,-964.739709,0.095750
0.020000,0.603034,26.004809,0.045646,0.864392,7.196361,-0.157894,0.094258
0.020000,0.623110,26.006689,0.065811,1.008231,7.191942,-0.220933,0.092522
0.020000,0.646053,26.008795,0.088850,1.151956,7.186254,-0.284418,0.090543
0.020000,0.671861,26.011109,0.114761,1.295576,7.180987,-0.263370,0.088323
0.020000,0.700533,26.013613,0.143542,1.439036,7.172987,-0.399969,0.085865
0.020000,0.732067,26.016284,0.175189,1.582362,7.166325,-0.333112,0.083173
0.020000,0.766462,26.019101,0.209699,1.725495,7.156637,-0.484395,0.080248
0.020000,0.803715,26.022038,0.247068,1.868439,7.147214,-0.471158,0.077094
0.020000,0.843824,26.025068,0.287291,2.011168,7.136463,-0.537572,0.073716
0.020000,0.886787,26.028163,0.330365,2.153690,7.126104,-0.517936,0.070117
0.020000,0.932598,26.031292,0.376284,2.295929,7.111935,-0.708454,0.066302
0.020000,0.981256,26.034425,0.425042,2.437929,7.100006,-0.596429,0.062275
0.020000,1.032755,26.037527,0.476635,2.579618,7.084424,-0.779114,0.058043
0.020000,1.087090,26.040563,0.531055,2.720998,7.069029,-0.769756,0.053610
0.020000,1.144256,26.043498,0.588296,2.862044,7.052267,-0.838076,0.048982
0.020000,1.204246,26.046293,0.648350,3.002743,7.034987,-0.864005,0.044166
0.020000,1.267052,26.048912,0.711212,3.143053,7.015465,-0.976097,0.039169
0.020000,1.332668,26.051313,0.776871,3.282970,6.995871,-0.979690,0.033997
0.020000,1.401083,26.053457,0.845320,3.422457,6.974348,-1.076149,0.028659
0.020000,1.472289,26.055302,0.916550,3.561500,6.952131,-1.110856,0.023163
0.020000,1.546276,26.056806,0.990551,3.700072,6.928615,-1.175837,0.017516
0.020000,1.623030,26.057928,1.067315,3.838151,6.903957,-1.232868,0.011728
0.020000,1.702542,26.058625,1.146829,3.975716,6.878257,-1.285021,0.005808
0.020000,1.784796,26.058854,1.229084,4.112740,6.851209,-1.352379,6.282951
0.020000,1.869780,26.058572,1.314068,4.249205,6.823233,-1.398806,6.276796
0.020000,1.957478,26.057736,1.401769,4.385086,6.794046,-1.459334,6.270540
0.020000,2.047873,26.056305,1.492177,4.520362,6.763798,-1.512423,6.264192
0.020000,2.140951,26.054237,1.585277,4.655015,6.732647,-1.557547,6.257764
0.020000,2.236692,26.051491,1.681058,4.789025,6.700511,-1.606813,6.251269
0.020000,2.335078,26.048026,1.779505,4.922366,6.667040,-1.673553,6.244717
0.020000,2.436091,26.043803,1.880605,5.055028,6.633080,-1.697989,6.238121
0.020000,2.539709,26.038785,1.984345,5.186992,6.598226,-1.742670,6.231493
0.020000,2.645913,26.032935,2.090710,5.318241,6.562461,-1.788250,6.224846
0.020000,2.754681,26.026218,2.199685,5.448765,6.526169,-1.814617,6.218194
0.020000,2.865991,26.018600,2.311256,5.578525,6.488026,-1.907154,6.211550
0.020000,2.979822,26.010051,2.425407,5.707557,6.451607,-1.820947,6.204926
0.020000,3.096149,26.000541,2.542123,5.835796,6.411934,-1.983646,6.198338
0.020000,3.214952,25.990044,2.661388,5.963269,6.373660,-1.913711,6.191799
0.020000,3.336206,25.978534,2.783187,6.089956,6.334316,-1.967173,6.185323
0.020000,3.459888,25.965989,2.907504,6.215845,6.294484,-1.991624,6.178924
0.020000,3.585975,25.952391,3.034323,6.340916,6.253522,-2.048096,6.172618
0.020000,3.714445,25.937722,3.163627,6.465206,6.214540,-1.949127,6.166417
0.020000,3.845273,25.921970,3.295400,6.588646,6.171961,-2.128943,6.160338
0.020000,3.978437,25.905124,3.429625,6.711288,6.132136,-1.991219,6.154394
0.020000,4.113916,25.887176,3.566287,6.833099,6.090550,-2.079317,6.148601
0.020000,4.251686,25.868123,3.705369,6.954080,6.049031,-2.075931,6.142973
0.020000,4.391727,25.847966,3.846854,7.074230,6.007486,-2.077275,6.137526
0.020000,4.534018,25.826706,3.990724,7.193517,5.964354,-2.156572,6.132274
0.020000,4.678540,25.804353,4.136964,7.311991,5.923727,-2.031376,6.127233
0.020000,4.825272,25.780916,4.285556,7.429594,5.880151,-2.178776,6.122418
0.020000,4.974196,25.756412,4.436483,7.546345,5.837547,-2.130198,6.117844
0.020000,5.125295,25.730859,4.589727,7.662238,5.794643,-2.145237,6.113527
0.020000,5.278553,25.704282,4.745272,7.777253,5.750727,-2.195791,6.109482
0.020000,5.433953,25.676708,4.903100,7.891384,5.706551,-2.208789,6.105726
0.020000,5.591482,25.648170,5.063193,8.004635,5.662557,-2.199706,6.102274
0.020000,5.751125,25.618706,5.225532,8.116959,5.616193,-2.318182,6.099142
0.020000,5.912870,25.588358,5.390099,8.228372,5.570677,-2.275828,6.096347
0.020000,6.076705,25.557174,5.556876,8.338843,5.523512,-2.358243,6.093907
0.020000,6.242620,25.525205,5.725843,8.448350,5.475373,-2.406948,6.091837
0.020000,6.410606,25.492511,5.896981,8.556872,5.426094,-2.463930,6.090157
0.020000,6.580653,25.459154,6.070268,8.664375,5.375176,-2.545916,6.088884
0.020000,6.752753,25.425205,6.245685,8.770844,5.323420,-2.587782,6.088036
0.020000,6.926900,25.390739,6.423210,8.876231,5.269376,-2.702214,6.087634
0.020000,7.103086,25.355838,6.602820,8.980507,5.213788,-2.779423,6.087696
0.020000,7.281307,25.320590,6.784492,9.083629,5.156078,-2.885490,6.088245
0.020000,7.461556,25.285092,6.968203,9.185553,5.096232,-2.992274,6.089300
0.020000,7.643827,25.249444,7.153928,9.286233,5.033960,-3.113608,6.090885
0.020000,7.828116,25.213758,7.341640,9.385611,4.968907,-3.252657,6.093023
0.020000,8.014416,25.178150,7.531313,9.483641,4.901493,-3.370699,6.095738
0.020000,8.202723,25.142748,7.722918,9.580262,4.831080,-3.520653,6.099056
0.020000,8.393027,25.107684,7.916427,9.675409,4.757340,-3.686983,6.103002
0.020000,8.585323,25.073102,8.111807,9.769027,4.680898,-3.822115,6.107605
0.020000,8.779601,25.039155,8.309028,9.861053,4.601287,-3.980562,6.112892
0.020000,8.975228,25.006105,8.507428,9.919970,2.945847,-82.772000,6.118874
0.020000,9.170382,24.974401,8.705140,9.885648,-1.716083,-233.096512,6.125510
0.020000,9.363256,24.944438,8.900328,9.759382,-6.313313,-229.861464,6.132735
0.020000,9.553210,24.916386,9.092341,9.600659,-7.936150,-81.141871,6.140512
0.020000,9.740218,24.890304,9.281160,9.440913,-7.987262,-2.555616,6.148817
0.020000,9.924296,24.866236,9.466804,9.282245,-7.933406,2.692844,6.157634
0.020000,10.105456,24.844217,9.649298,9.124671,-7.878704,2.735077,6.166941
0.020000,10.283708,24.824275,9.828662,8.968213,-7.822886,2.790891,6.176719
0.020000,10.459061,24.806433,10.004920,8.812914,-7.764998,2.894425,6.186947
0.020000,10.631521,24.790702,10.178096,8.658801,-7.705642,2.967768,6.197604
0.020000,10.801094,24.777091,10.348215,8.505914,-7.644323,3.065980,6.208668
0.020000,10.967784,24.765597,10.515301,8.354292,-7.581114,3.160436,6.220116
0.020000,11.131595,24.756215,10.679380,8.203984,-7.515415,3.284962,6.231925
0.020000,11.292531,24.748930,10.840481,8.055027,-7.447818,3.379839,6.244070
0.020000,11.450595,24.743723,10.998630,7.907463,-7.378238,3.478975,6.256526
0.020000,11.605789,24.740567,11.153857,7.761336,-7.306308,3.596524,6.269268
0.020000,11.758119,24.739431,11.306190,7.616675,-7.233076,3.661584,6.282269
0.020000,11.907586,24.740278,11.455661,7.473518,-7.157842,3.761702,0.012318
0.020000,12.054198,24.743063,11.602298,7.331888,-7.081489,3.817677,0.025756
0.020000,12.197958,24.747741,11.746135,7.191810,-7.003892,3.879814,0.039372
0.020000,12.338873,24.754259,11.887200,7.053293,-6.925860,3.901635,0.053137
0.020000,12.476951,24.762560,12.025527,6.916347,-6.847292,3.928405,0.067022
0.020000,12.612199,24.772585,12.161147,6.780977,-6.768511,3.939017,0.081001
0.020000,12.744628,24.784268,12.294090,6.647171,-6.690322,3.909460,0.095044
0.020000,12.874248,24.797543,12.424388,6.514900,-6.613557,3.838264,0.109124
0.020000,13.001071,24.812339,12.552071,6.384143,-6.537812,3.787261,0.123214
0.020000,13.125109,24.828585,12.677169,6.254882,-6.463070,3.737063,0.137288
0.020000,13.246378,24.846204,12.799711,6.127087,-6.389764,3.665306,0.151318
0.020000,13.364890,24.865121,12.919723,6.000637,-6.322470,3.364716,0.165281
0.020000,13.480664,24.885257,13.037235,5.875565,-6.253619,3.442540,0.179151
0.020000,13.593715,24.906532,13.152270,5.751773,-6.189607,3.200593,0.192907
0.020000,13.704061,24.928866,13.264854,5.629204,-6.128456,3.057580,0.206527
0.020000,13.811721,24.952179,13.375009,5.507743,-6.073030,2.771276,0.219989
0.020000,13.916714,24.976388,13.482757,5.387398,-6.017252,2.788884,0.233274
0.020000,14.019059,25.001413,13.588117,5.268006,-5.969585,2.383395,0.246365
0.020000,14.118777,25.027173,13.691109,5.149576,-5.921504,2.404026,0.259246
0.020000,14.215888,25.053587,13.791748,5.031981,-5.879751,2.087643,0.271900
0.020000,14.310415,25.080574,13.890052,4.915180,-5.840078,1.983684,0.284315
0.020000,14.402376,25.108056,13.986031,4.798962,-5.810863,1.460721,0.296477
0.020000,14.491795,25.135954,14.079701,4.683514,-5.772400,1.923148,0.308376
0.020000,14.578692,25.164192,14.171071,4.568502,-5.750625,1.088778,0.320002
0.020000,14.663090,25.192693,14.260151,4.454002,-5.725004,1.281044,0.331347
0.020000,14.745009,25.221383,14.346949,4.339903,-5.704940,1.003182,0.342402
0.020000,14.824471,25.250189,14.431472,4.226129,-5.688699,0.812047,0.353163
0.020000,14.901501,25.279042,14.513728,4.112784,-5.667261,1.071905,0.363622
0.020000,14.976114,25.307871,14.593717,3.999446,-5.666886,0.018762,0.373777
