dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.669000,24.891000,0.000651,0.065101,3.255071,162.753559,0.099494
0.020000,0.669000,24.891000,0.003255,0.195304,6.510142,162.753559,0.099244
0.020000,0.669000,24.891000,0.008463,0.325507,6.510142,-0.000000,0.098744
0.020000,0.669096,24.891009,0.016275,0.455710,6.510142,0.000000,0.097994
0.020000,0.679463,24.892023,0.026692,0.585913,6.510142,0.000000,0.096996
0.020000,0.692422,24.893276,0.039712,0.716116,6.510142,-0.000000,0.095750
0.020000,0.707976,24.894758,0.055336,0.846319,6.510142,0.000000,0.094258
0.020000,0.726125,24.896458,0.073565,0.976521,6.510142,0.000000,0.092522
0.020000,0.746870,24.898362,0.094397,1.106724,6.510142,-0.000000,0.090543
0.020000,0.770213,24.900456,0.117834,1.236927,6.510142,0.000000,0.088323
0.020000,0.796155,24.902721,0.143874,1.367130,6.510142,0.000000,0.085865
0.020000,0.824697,24.905139,0.172519,1.497333,6.510142,0.000000,0.083173
0.020000,0.855842,24.907689,0.203767,1.627536,6.510142,0.000000,0.080248
0.020000,0.889590,24.910350,0.237620,1.757738,6.510142,-0.000000,0.077094
0.020000,0.925943,24.913096,0.274077,1.887941,6.510142,0.000000,0.073716
0.020000,0.964903,24.915903,0.313138,2.018144,6.510142,-0.000000,0.070117
0.020000,1.006471,24.918742,0.354803,2.148347,6.510142,0.000000,0.066302
0.020000,1.050648,24.921586,0.399072,2.278550,6.510142,-0.000000,0.062275
0.020000,1.097437,24.924404,0.445945,2.408753,6.510142,0.000000,0.058043
0.020000,1.146836,24.927165,0.495422,2.538956,6.510142,-0.000000,0.053610
0.020000,1.198849,24.929835,0.547503,2.669158,6.510142,0.000000,0.048982
0.020000,1.253475,24.932381,0.602188,2.799361,6.510142,0.000000,0.044166
0.020000,1.310714,24.934767,0.659477,2.929564,6.510142,0.000000,0.039169
0.020000,1.370568,24.936957,0.719371,3.059767,6.510142,-0.000000,0.033997
0.020000,1.433034,24.938915,0.781868,3.189970,6.510142,0.000000,0.028659
0.020000,1.498114,24.940601,0.846970,3.320173,6.510142,0.000000,0.023163
0.020000,1.565805,24.941977,0.914675,3.450375,6.510142,-0.000000,0.017516
0.020000,1.636107,24.943005,0.984985,3.580578,6.510142,0.000000,0.011728
0.020000,1.709018,24.943644,1.057898,3.710781,6.510142,-0.000000,0.005808
0.020000,1.784535,24.943854,1.133416,3.840984,6.510142,0.000000,6.282951
0.020000,1.862656,24.943594,1.211537,3.971187,6.510142,-0.000000,6.276796
0.020000,1.943378,24.942825,1.292263,4.101390,6.510142,0.000000,6.270540
0.020000,2.026697,24.941506,1.375593,4.231593,6.510142,-0.000000,6.264192
0.020000,2.112610,24.939597,1.461527,4.361795,6.510142,0.000000,6.257764
0.020000,2.201111,24.937058,1.550065,4.491998,6.510142,0.000000,6.251269
0.020000,2.292196,24.933851,1.641207,4.622201,6.510142,0.000000,6.244717
0.020000,2.385860,24.929935,1.734953,4.752404,6.510142,0.000000,6.238121
0.020000,2.482097,24.925274,1.831303,4.882607,6.510142,0.000000,6.231493
0.020000,2.580902,24.919832,1.930257,5.012810,6.510142,0.000000,6.224846
0.020000,2.682267,24.913572,2.031815,5.143012,6.510142,0.000000,6.218194
0.020000,2.786185,24.906460,2.135978,5.273215,6.510142,0.000000,6.211550
0.020000,2.892652,24.898464,2.242744,5.403418,6.510142,0.000000,6.204926
0.020000,3.001658,24.889553,2.352114,5.533621,6.510142,0.000000,6.198338
0.020000,3.113198,24.879697,2.464089,5.663824,6.510142,0.000000,6.191799
0.020000,3.227264,24.868869,2.578667,5.794027,6.510142,-0.000000,6.185323
0.020000,3.343848,24.857044,2.695850,5.924230,6.510142,0.000000,6.178924
0.020000,3.462943,24.844200,2.815637,6.054432,6.510142,0.000000,6.172618
0.020000,3.584544,24.830315,2.938027,6.184635,6.510142,-0.000000,6.166417
0.020000,3.708642,24.815373,3.063022,6.314838,6.510142,0.000000,6.160338
0.020000,3.835232,24.799358,3.190621,6.445041,6.510142,-0.000000,6.154394
0.020000,3.964307,24.782259,3.320824,6.575244,6.510142,-0.000000,6.148601
0.020000,4.095861,24.764066,3.453631,6.705447,6.510142,0.000000,6.142973
0.020000,4.229891,24.744773,3.589041,6.835649,6.510142,-0.000000,6.137526
0.020000,4.366390,24.724379,3.727057,6.965852,6.510142,-0.000000,6.132274
0.020000,4.505357,24.702885,3.867676,7.096055,6.510142,0.000000,6.127233
0.020000,4.646787,24.680295,4.010899,7.226258,6.510142,-0.000000,6.122418
0.020000,4.790679,24.656618,4.156726,7.356461,6.510142,0.000000,6.117844
0.020000,4.937033,24.631868,4.305157,7.486664,6.510142,-0.000000,6.113527
0.020000,5.085847,24.606061,4.456192,7.616867,6.510142,-0.000000,6.109482
0.020000,5.237123,24.579219,4.609832,7.747069,6.510142,0.000000,6.105726
0.020000,5.390864,24.551367,4.766075,7.877272,6.510142,-0.000000,6.102274
0.020000,5.547073,24.522537,4.924923,8.007475,6.510142,0.000000,6.099142
0.020000,5.705755,24.492763,5.086374,8.137678,6.510142,0.000000,6.096347
0.020000,5.866918,24.462087,5.250430,8.267881,6.510142,0.000000,6.093907
0.020000,6.030567,24.430555,5.417089,8.398084,6.510142,0.000000,6.091837
0.020000,6.196713,24.398219,5.586353,8.528286,6.510142,0.000000,6.090157
0.020000,6.365367,24.365135,5.758221,8.658489,6.510142,0.000000,6.088884
0.020000,6.536540,24.331369,5.932693,8.788692,6.510142,0.000000,6.088036
0.020000,6.710247,24.296990,6.109769,8.918895,6.510142,0.000000,6.087634
0.020000,6.886502,24.262076,6.289449,9.049098,6.510142,0.000000,6.087696
0.020000,7.065322,24.226709,6.471733,9.179301,6.510142,0.000000,6.088245
0.020000,7.246725,24.190983,6.656621,9.309504,6.510142,0.000000,6.089300
0.020000,7.430732,24.154996,6.844113,9.439706,6.510142,-0.000000,6.090885
0.020000,7.617361,24.118857,7.034209,9.569909,6.510142,0.000000,6.093023
0.020000,7.806635,24.082681,7.226909,9.700112,6.510142,0.000000,6.095738
