dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.779753,23.781514,0.000651,0.065101,3.255071,162.753559,0.099494
0.020000,0.779476,23.781487,0.000930,0.013951,-2.557521,-290.629627,0.099244
0.020000,0.778921,23.781431,0.001488,0.027886,0.696763,162.714203,0.098744
0.020000,0.778184,23.781359,0.002228,0.036992,0.455274,-12.074414,0.097994
0.020000,0.787444,23.782264,0.011531,0.465174,21.409105,1047.691552,0.096996
0.020000,0.799021,23.783384,0.023162,0.581565,5.819558,-779.477372,0.095750
0.020000,0.812919,23.784708,0.037123,0.698040,5.823773,0.210766,0.094258
0.020000,0.829140,23.786227,0.053415,0.814608,5.828381,0.230361,0.092522
0.020000,0.847688,23.787930,0.072041,0.931276,5.833401,0.251040,0.090543
0.020000,0.868565,23.789802,0.093002,1.048081,5.840236,0.341753,0.088323
0.020000,0.891777,23.791828,0.116303,1.165008,5.846373,0.306847,0.085865
0.020000,0.917328,23.793993,0.141945,1.282111,5.855145,0.438592,0.083173
0.020000,0.945222,23.796277,0.169932,1.399372,5.863063,0.395902,0.080248
0.020000,0.975465,23.798662,0.200269,1.516829,5.872837,0.488702,0.077094
0.020000,1.008062,23.801124,0.232959,1.634494,5.883224,0.519319,0.073716
0.020000,1.043019,23.803642,0.268007,1.752407,5.895670,0.622296,0.070117
0.020000,1.080343,23.806192,0.305418,1.870543,5.906803,0.556695,0.066302
0.020000,1.120041,23.808748,0.345197,1.988975,5.921597,0.739688,0.062275
0.020000,1.162118,23.811282,0.387351,2.107681,5.935296,0.684939,0.058043
0.020000,1.206583,23.813767,0.431885,2.226702,5.951073,0.788846,0.053610
0.020000,1.253442,23.816172,0.478806,2.346057,5.967702,0.831441,0.048982
0.020000,1.302704,23.818468,0.528122,2.465775,5.985914,0.910603,0.044166
0.020000,1.354376,23.820622,0.579839,2.585861,6.004326,0.920617,0.039169
0.020000,1.408467,23.822602,0.633966,2.706356,6.024746,1.021014,0.033997
0.020000,1.464985,23.824372,0.690511,2.827270,6.045667,1.046034,0.028659
0.020000,1.523938,23.825900,0.749484,2.948632,6.068117,1.122509,0.023163
0.020000,1.585334,23.827148,0.810893,3.070464,6.091603,1.174265,0.017516
0.020000,1.649183,23.828082,0.874749,3.192789,6.116250,1.232377,0.011728
0.020000,1.715493,23.828663,0.941062,3.315632,6.142129,1.293922,0.005808
0.020000,1.784273,23.828854,1.009842,3.439011,6.168962,1.341680,6.282951
0.020000,1.855532,23.828617,1.081101,3.562952,6.197068,1.405300,6.276796
0.020000,1.929278,23.827914,1.154850,3.687476,6.226170,1.455077,6.270540
0.020000,2.005521,23.826707,1.231102,3.812602,6.256340,1.508506,6.264192
0.020000,2.084268,23.824958,1.309870,3.938355,6.287653,1.565652,6.257764
0.020000,2.165530,23.822626,1.391165,4.064755,6.319970,1.615880,6.251269
0.020000,2.249314,23.819675,1.475001,4.191813,6.352917,1.647304,6.244717
0.020000,2.335630,23.816067,1.561392,4.319556,6.387124,1.710365,6.238121
0.020000,2.424486,23.811764,1.650352,4.447999,6.422158,1.751705,6.231493
0.020000,2.515890,23.806729,1.741895,4.577157,6.457904,1.787327,6.224846
0.020000,2.609852,23.800926,1.836036,4.707049,6.494591,1.834350,6.218194
0.020000,2.706380,23.794320,1.932790,4.837668,6.530967,1.818770,6.211550
0.020000,2.805482,23.786877,2.032171,4.969068,6.570022,1.952754,6.204926
0.020000,2.907167,23.778564,2.134195,5.101215,6.607330,1.865411,6.198338
0.020000,3.011444,23.769349,2.238878,5.234152,6.646831,1.975040,6.191799
0.020000,3.118321,23.759204,2.346236,5.367877,6.686278,1.972328,6.185323
0.020000,3.227807,23.748099,2.456284,5.502399,6.726078,1.990004,6.178924
0.020000,3.339911,23.736008,2.569038,5.637710,6.765571,1.974645,6.172618
0.020000,3.454643,23.722908,2.684515,5.773859,6.807444,2.093683,6.166417
0.020000,3.572011,23.708776,2.802731,5.910792,6.846663,1.960960,6.160338
0.020000,3.692026,23.693593,2.923702,6.048569,6.888842,2.108921,6.154394
0.020000,3.814698,23.677341,3.047446,6.187167,6.929902,2.053013,6.148601
0.020000,3.940037,23.660008,3.173978,6.326596,6.971456,2.077683,6.142973
0.020000,4.068054,23.641580,3.303315,6.466865,7.013415,2.097959,6.137526
0.020000,4.198763,23.622051,3.435474,6.607952,7.054360,2.047240,6.132274
0.020000,4.332174,23.601416,3.570472,6.749913,7.098075,2.185786,6.127233
0.020000,4.468303,23.579673,3.708326,6.892705,7.139607,2.076567,6.122418
0.020000,4.607163,23.556824,3.849053,7.036358,7.182630,2.151161,6.117844
0.020000,4.748770,23.532877,3.992671,7.180880,7.226076,2.172322,6.113527
0.020000,4.893140,23.507840,4.139196,7.326268,7.269397,2.166025,6.109482
0.020000,5.040293,23.481729,4.288647,7.472536,7.313434,2.201849,6.105726
0.020000,5.190246,23.454564,4.441041,7.619712,7.358782,2.267403,6.102274
0.020000,5.343021,23.426367,4.596397,7.767776,7.403204,2.221097,6.099142
0.020000,5.498641,23.397168,4.754732,7.916775,7.449975,2.338533,6.096347
0.020000,5.657130,23.367001,4.916067,8.066715,7.496954,2.348975,6.093907
0.020000,5.818514,23.335905,5.080419,8.217615,7.545042,2.404383,6.091837
0.020000,5.982821,23.303927,5.247809,8.369503,7.594360,2.465903,6.090157
0.020000,6.150081,23.271117,5.418257,8.522397,7.644720,2.517988,6.088884
0.020000,6.320327,23.237533,5.591784,8.676342,7.697231,2.625558,6.088036
0.020000,6.493593,23.203242,5.768411,8.831358,7.750803,2.678600,6.087634
0.020000,6.669917,23.168313,5.948161,8.987488,7.806517,2.785741,6.087696
0.020000,6.849337,23.132828,6.131056,9.144771,7.864164,2.882309,6.088245
0.020000,7.031895,23.096875,6.317121,9.303253,7.924092,2.996401,6.089300
0.020000,7.217636,23.060549,6.506381,9.462981,7.986373,3.114089,6.090885
0.020000,7.406606,23.023956,6.698861,9.624001,8.051002,3.231441,6.093023
0.020000,7.598853,22.987213,6.894588,9.786376,8.118747,3.387238,6.095738
0.020000,7.794430,22.950443,7.093592,9.950161,8.189266,3.525960,6.099056
0.020000,7.993390,22.913786,7.295900,10.115410,8.262479,3.660660,6.103002
0.020000,8.195787,22.877388,7.501544,10.282195,8.339239,3.837954,6.107605
