dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.779538,24.131654,0.000653,0.065333,3.266632,163.331588,3.784576
0.020000,17.779311,24.131484,0.000936,0.014156,-2.558855,-291.274328,3.784322
0.020000,17.778858,24.131145,0.001503,0.028318,0.708148,163.350118,3.783814
0.020000,17.778177,24.130636,0.002353,0.042496,0.708887,0.036984,3.783052
0.020000,17.772140,24.126134,0.009883,0.376528,16.701613,799.636271,3.782034
0.020000,17.760521,24.117487,0.024367,0.724175,17.382339,34.036295,3.780761
0.020000,17.746557,24.107124,0.041756,0.869476,7.265022,-505.865840,3.779230
0.020000,17.730243,24.095060,0.062046,1.014499,7.251174,-0.692383,3.777439
0.020000,17.711568,24.081305,0.085240,1.159693,7.259707,0.426638,3.775388
0.020000,17.690519,24.065873,0.111340,1.304990,7.264855,0.257426,3.773073
0.020000,17.667082,24.048777,0.140350,1.450495,7.275220,0.518234,3.770492
0.020000,17.641237,24.030034,0.172276,1.596301,7.290299,0.753956,3.767642
0.020000,17.612975,24.009665,0.207113,1.741847,7.277314,-0.649251,3.764521
0.020000,17.582269,23.987687,0.244874,1.888042,7.309724,1.620507,3.761125
0.020000,17.549103,23.964124,0.285558,2.034197,7.307746,-0.098910,3.757451
0.020000,17.513455,23.939003,0.329168,2.180535,7.316925,0.458949,3.753495
0.020000,17.475301,23.912348,0.375711,2.327120,7.329256,0.616561,3.749253
0.020000,17.434617,23.884191,0.425188,2.473878,7.337910,0.432665,3.744721
0.020000,17.391372,23.854560,0.477611,2.621134,7.362804,1.244721,3.739894
0.020000,17.345542,23.823492,0.532979,2.768386,7.362602,-0.010113,3.734768
0.020000,17.297095,23.791022,0.591300,2.916063,7.383834,1.061598,3.729338
0.020000,17.246004,23.757191,0.652577,3.063844,7.389043,0.260479,3.723600
0.020000,17.192233,23.722040,0.716818,3.212038,7.409714,1.033511,3.717547
0.020000,17.135749,23.685614,0.784029,3.360559,7.426021,0.815368,3.711175
0.020000,17.076517,23.647962,0.854215,3.509319,7.438029,0.600412,3.704479
0.020000,17.014503,23.609137,0.927380,3.658236,7.445820,0.389556,3.697452
0.020000,16.949666,23.569189,1.003536,3.807785,7.477457,1.581851,3.690091
0.020000,16.881973,23.528183,1.082681,3.957249,7.473202,-0.212771,3.682389
0.020000,16.811380,23.486176,1.164826,4.107276,7.501354,1.407613,3.674341
0.020000,16.737849,23.443236,1.249977,4.257547,7.513529,0.608720,3.665941
0.020000,16.661339,23.399432,1.338139,4.408092,7.527264,0.686770,3.657185
0.020000,16.581810,23.354838,1.429318,4.558946,7.542733,0.773449,3.648069
0.020000,16.499224,23.309534,1.523514,4.709797,7.542547,-0.009274,3.638587
0.020000,16.413534,23.263600,1.620738,4.861239,7.572057,1.475475,3.628735
