dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.442462,25.916346,0.000653,0.065333,3.266632,163.331588,3.784576
0.020000,16.442689,25.916516,0.000936,0.014156,-2.558855,-291.274328,3.784322
0.020000,16.443142,25.916855,0.001503,0.028318,0.708148,163.350118,3.783814
0.020000,16.443823,25.917364,0.002353,0.042496,0.708887,0.036984,3.783052
0.020000,16.439605,25.914219,0.007614,0.263086,11.029482,516.029759,3.782034
0.020000,16.430263,25.907267,0.019259,0.582221,15.956780,246.364891,3.780761
0.020000,16.419041,25.898939,0.033234,0.698737,5.825751,-506.551477,3.779230
0.020000,16.405937,25.889249,0.049531,0.814864,5.806362,-0.969458,3.777439
0.020000,16.390946,25.878208,0.068150,0.930936,5.803605,-0.137813,3.775388
0.020000,16.374061,25.865828,0.089087,1.046871,5.796780,-0.341285,3.773073
0.020000,16.355273,25.852124,0.112342,1.162727,5.792798,-0.199068,3.770492
0.020000,16.334573,25.837111,0.137913,1.278553,5.791259,-0.076967,3.767642
0.020000,16.311957,25.820812,0.165790,1.393871,5.765944,-1.265732,3.764521
0.020000,16.287410,25.803241,0.195978,1.509385,5.775685,0.487060,3.761125
0.020000,16.260923,25.784424,0.228468,1.624518,5.756647,-0.951929,3.757451
0.020000,16.232486,25.764384,0.263257,1.739425,5.745321,-0.566288,3.753495
0.020000,16.202087,25.743148,0.300339,1.854131,5.735329,-0.499615,3.749253
0.020000,16.169713,25.720742,0.339710,1.968557,5.721274,-0.702765,3.744721
0.020000,16.135347,25.697195,0.381369,2.082938,5.719053,-0.111049,3.739894
0.020000,16.098979,25.672541,0.425306,2.196855,5.695864,-1.159403,3.734768
0.020000,16.060591,25.646812,0.471519,2.310630,5.688777,-0.354371,3.729338
0.020000,16.020170,25.620046,0.519999,2.423993,5.668147,-1.031482,3.723600
0.020000,15.977696,25.592281,0.570742,2.537174,5.659033,-0.455732,3.717547
0.020000,15.933154,25.563556,0.623744,2.650091,5.645841,-0.659597,3.711175
0.020000,15.886524,25.533915,0.678997,2.762667,5.628793,-0.852375,3.704479
0.020000,15.837791,25.503403,0.736494,2.874830,5.608149,-1.032220,3.697452
0.020000,15.786930,25.472067,0.796233,2.986952,5.606119,-0.101485,3.690091
0.020000,15.733927,25.439960,0.858202,3.098472,5.576012,-1.505344,3.682389
0.020000,15.678758,25.407131,0.922401,3.209905,5.571655,-0.217877,3.674341
0.020000,15.621401,25.373636,0.988821,3.321013,5.555367,-0.814372,3.665941
0.020000,15.561836,25.339533,1.057458,3.431837,5.541206,-0.708087,3.657185
0.020000,15.500040,25.304882,1.128306,3.542429,5.529620,-0.579286,3.648069
0.020000,15.435992,25.269748,1.201358,3.652579,5.507487,-1.106665,3.638587
0.020000,15.369665,25.234193,1.276613,3.762787,5.510387,0.145011,3.628735
0.020000,15.301039,25.198287,1.354065,3.872575,5.489416,-1.048519,3.618511
